tar_x(m),tar_y(m),tar_th(deg),vel_x(m/s),vel_y(m/s),cog_x(m),cog_y(m),L(0)R(1),STATE(0-2),ZMP_x(m),ZMP_y(m),ZMP_th(deg),ax0,ax1,ax2,ax3,ax4,ax5,ay0,ay1,ay2,ay3,ay4,ay5
0.3,0,3,-0.4,-0.24,-0.06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,3,-0.4,-0.24,-0.054,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,3,-0.4,-0.24,-0.048,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,3,-0.4,-0.24,-0.042,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,3,-0.4,-0.24,-0.036,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,3,-0.4,-0.24,-0.03,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,3,-0.4,-0.24,-0.024,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,3,-0.4,-0.24,-0.018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,3,-0.4,-0.24,-0.012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,3,-0.4,-0.24,-0.006,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,3,-0.4,-0.24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,3,-0.4,-0.24,0.006,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,3,-0.4,-0.24,0.012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,3,-0.4,-0.24,0.018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,3,-0.4,-0.24,0.024,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,3,-0.4,-0.24,0.03,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,3,-0.4,-0.24,0.036,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,3,-0.4,-0.24,0.042,0,0,1,0.057301,0.0530716,0.0523599,0.0381059,-0.375515,1.82324,-4.16829,6.31538,-3.48053,-0.00231129,-0.221874,0.874435,-1.25747,1.95576,-0.189531
0.3,0,3,-0.4,-0.24,0.048,0,0,1,0.057301,0.0530716,0.0523599,0.0441104,-0.375154,1.71562,-3.77755,5.65871,-3.01571,-0.00231129,-0.221874,0.874435,-1.25747,1.95576,-0.189531
0.3,0,3,-0.4,-0.24,0.054,0,0,1,0.057301,0.0530716,0.0523599,0.0501149,-0.374794,1.60801,-3.3868,5.00203,-2.55088,-0.00231129,-0.221874,0.874435,-1.25747,1.95576,-0.189531
0.3,0,3,-0.4,-0.24,0.06,0,0,1,0.057301,0.0530716,0.0523599,0.0561194,-0.374433,1.50039,-2.99606,4.34536,-2.08606,-0.00231129,-0.221874,0.874435,-1.25747,1.95576,-0.189531
,,,,,,,,,,,,,,,,,,,,,,,
0.3,0,3,-0.36,-0.24,-0.06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,3,-0.36,-0.24,-0.054,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,3,-0.36,-0.24,-0.048,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,3,-0.36,-0.24,-0.042,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,3,-0.36,-0.24,-0.036,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,3,-0.36,-0.24,-0.03,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,3,-0.36,-0.24,-0.024,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,3,-0.36,-0.24,-0.018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,3,-0.36,-0.24,-0.012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,3,-0.36,-0.24,-0.006,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,3,-0.36,-0.24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,3,-0.36,-0.24,0.006,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,3,-0.36,-0.24,0.012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,3,-0.36,-0.24,0.018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,3,-0.36,-0.24,0.024,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,3,-0.36,-0.24,0.03,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,3,-0.36,-0.24,0.036,0,0,1,0.057301,0.0530716,0.0523599,0.0324947,-0.337845,1.69926,-3.91119,5.98084,-3.2717,-0.00231129,-0.221874,0.874435,-1.25747,1.95576,-0.189531
0.3,0,3,-0.36,-0.24,0.042,0,0,1,0.057301,0.0530716,0.0523599,0.0384992,-0.337484,1.59164,-3.52044,5.32417,-2.80687,-0.00231129,-0.221874,0.874435,-1.25747,1.95576,-0.189531
0.3,0,3,-0.36,-0.24,0.048,0,0,1,0.057301,0.0530716,0.0523599,0.0445037,-0.337123,1.48402,-3.1297,4.66749,-2.34205,-0.00231129,-0.221874,0.874435,-1.25747,1.95576,-0.189531
0.3,0,3,-0.36,-0.24,0.054,0,0,1,0.057301,0.0530716,0.0523599,0.0505082,-0.336762,1.37641,-2.73895,4.01082,-1.87722,-0.00231129,-0.221874,0.874435,-1.25747,1.95576,-0.189531
0.3,0,3,-0.36,-0.24,0.06,0,0,1,0.057301,0.0530716,0.0523599,0.0565127,-0.336402,1.26879,-2.34821,3.35414,-1.41239,-0.00231129,-0.221874,0.874435,-1.25747,1.95576,-0.189531
,,,,,,,,,,,,,,,,,,,,,,,
0.3,0,3,-0.32,-0.24,-0.06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,3,-0.32,-0.24,-0.054,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,3,-0.32,-0.24,-0.048,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,3,-0.32,-0.24,-0.042,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,3,-0.32,-0.24,-0.036,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,3,-0.32,-0.24,-0.03,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,3,-0.32,-0.24,-0.024,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,3,-0.32,-0.24,-0.018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,3,-0.32,-0.24,-0.012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,3,-0.32,-0.24,-0.006,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,3,-0.32,-0.24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,3,-0.32,-0.24,0.006,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,3,-0.32,-0.24,0.012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,3,-0.32,-0.24,0.018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,3,-0.32,-0.24,0.024,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,3,-0.32,-0.24,0.03,0,0,1,0.057301,0.0530716,0.0523599,0.0268835,-0.300174,1.57527,-3.65408,5.64631,-3.06286,-0.00231129,-0.221874,0.874435,-1.25747,1.95576,-0.189531
0.3,0,3,-0.32,-0.24,0.036,0,0,1,0.057301,0.0530716,0.0523599,0.032888,-0.299813,1.46766,-3.26334,4.98963,-2.59803,-0.00231129,-0.221874,0.874435,-1.25747,1.95576,-0.189531
0.3,0,3,-0.32,-0.24,0.042,0,0,1,0.057301,0.0530716,0.0523599,0.0388925,-0.299452,1.36004,-2.87259,4.33296,-2.13321,-0.00231129,-0.221874,0.874435,-1.25747,1.95576,-0.189531
0.3,0,3,-0.32,-0.24,0.048,0,0,1,0.057301,0.0530716,0.0523599,0.044897,-0.299092,1.25242,-2.48185,3.67628,-1.66838,-0.00231129,-0.221874,0.874435,-1.25747,1.95576,-0.189531
0.3,0,3,-0.32,-0.24,0.054,0,0,1,0.057301,0.0530716,0.0523599,0.0509015,-0.298731,1.14481,-2.0911,3.01961,-1.20356,-0.00231129,-0.221874,0.874435,-1.25747,1.95576,-0.189531
