tar_x(m) tar_y(m) tar_th(deg) vel_x(m/s) vel_y(m/s) cog_x(m) cog_y(m) L(0)R(1) STATE(0-2) ZMP_x(m) ZMP_y(m) ax0 ax1 ax2 ax3 ax4 ax5 ay0 ay1 ay2 ay3 ay4 ay5
0.33 0 0.0 0 0 0 0 0 0 0 -0.05 1.06548e-06 0.000349742 0.0389887 -0.0613211 0.142684 0.0115976 -5.01548e-06 -0.00149621 -0.173068 0.28527 -0.676146 0.0158144
0.33 0 5.0 0 0 0 0 0 0 0 -0.05 1.06763e-06 0.00035048 0.0390716 -0.0614716 0.143069 0.0115288 -5.01348e-06 -0.00149553 -0.172992 0.285154 -0.675838 0.015815
0.33 0 10.0 0 0 0 0 0 0 0 -0.05 1.06974e-06 0.000351207 0.0391532 -0.0616199 0.143447 0.0114611 -5.01146e-06 -0.00149484 -0.172915 0.285036 -0.675522 0.015812
0.33 0 15.0 0 0 0 0 0 0 0 -0.05 1.07182e-06 0.000351923 0.0392335 -0.0617662 0.143819 0.0113947 -5.00941e-06 -0.00149415 -0.172837 0.284916 -0.6752 0.0158054
0.33 0 20.0 0 0 0 0 0 0 0 -0.05 1.07387e-06 0.000352626 0.0393124 -0.0619102 0.144185 0.0113298 -5.00735e-06 -0.00149345 -0.172759 0.284794 -0.674872 0.0157952
0.33 0 25.0 0 0 0 0 0 0 0 -0.05 1.07589e-06 0.000353319 0.0393901 -0.0620521 0.144543 0.0112665 -5.00528e-06 -0.00149274 -0.172679 0.284669 -0.674537 0.0157816
0.33 0 30.0 0 0 0 0 0 0 0 -0.05 1.07788e-06 0.000353999 0.0394664 -0.0621917 0.144894 0.011205 -5.00318e-06 -0.00149202 -0.172599 0.284543 -0.674196 0.0157646
0.33 0 35.0 0 0 0 0 0 0 0 -0.05 1.07983e-06 0.000354669 0.0395415 -0.062329 0.145238 0.0111453 -5.00107e-06 -0.0014913 -0.172518 0.284414 -0.673849 0.0157443
0.33 0 40.0 0 0 0 0 0 0 0 -0.05 1.08176e-06 0.000355326 0.0396152 -0.062464 0.145575 0.0110878 -4.99894e-06 -0.00149057 -0.172437 0.284284 -0.673497 0.0157209
0.33 0 45.0 0 0 0 0 0 0 0 -0.05 1.08365e-06 0.000355972 0.0396876 -0.0625966 0.145904 0.0110324 -4.9968e-06 -0.00148984 -0.172354 0.284151 -0.673139 0.0156944
0.36 0 -45.0 0 0 0 0 0 0 0 -0.05 1.04471e-06 0.000342586 0.0381856 -0.0598793 0.138958 0.01224 -5.03255e-06 -0.00150192 -0.173706 0.286205 -0.678591 0.0156331
0.36 0 -40.0 0 0 0 0 0 0 0 -0.05 1.04715e-06 0.000343425 0.0382798 -0.0600467 0.139393 0.0121687 -5.03075e-06 -0.00150132 -0.17364 0.286111 -0.678351 0.0156692
0.36 0 -35.0 0 0 0 0 0 0 0 -0.05 1.04955e-06 0.000344254 0.0383728 -0.0602125 0.139823 0.0120969 -5.02892e-06 -0.00150071 -0.173572 0.286014 -0.678102 0.0157013
0.36 0 -30.0 0 0 0 0 0 0 0 -0.05 1.05193e-06 0.000345072 0.0384646 -0.0603765 0.140248 0.0120249 -5.02706e-06 -0.0015001 -0.173503 0.285916 -0.677846 0.0157293
