tar_x(m) tar_y(m) tar_th(deg) vel_x(m/s) vel_y(m/s) cog_x(m) cog_y(m) L(0)R(1) STATE(0-2) ZMP_x(m) ZMP_y(m) ax0 ax1 ax2 ax3 ax4 ax5 ay0 ay1 ay2 ay3 ay4 ay5
0.12 0 -90.0 -0.24 0 0.024 0 0 0 0 -0.05 0.0216592 -0.226407 0.996858 -2.38319 3.45741 -2.17011 -5.04076e-06 -0.00150462 -0.174007 0.286613 -0.67962 0.0154068
0.12 0 -90.0 -0.24 0 0.030 0 0 0 0 -0.05 0.0276637 -0.226046 0.889242 -1.99244 2.80073 -1.70528 -5.04076e-06 -0.00150462 -0.174007 0.286613 -0.67962 0.0154068
0.12 0 -90.0 -0.24 0 0.036 0 0 0 0 -0.05 0.0336682 -0.225685 0.781625 -1.60169 2.14406 -1.24046 -5.04076e-06 -0.00150462 -0.174007 0.286613 -0.67962 0.0154068
0.12 0 -90.0 -0.24 0 0.042 0 0 0 0 -0.05 0.0396727 -0.225324 0.674009 -1.21095 1.48738 -0.77563 -5.04076e-06 -0.00150462 -0.174007 0.286613 -0.67962 0.0154068
0.12 0 -90.0 -0.24 0 0.048 0 0 0 0 -0.05 0.0456772 -0.224964 0.566393 -0.820204 0.830708 -0.310804 -5.04076e-06 -0.00150462 -0.174007 0.286613 -0.67962 0.0154068
0.12 0 -90.0 -0.24 0 0.054 0 0 0 0 -0.05 0.0516817 -0.224603 0.458777 -0.429458 0.174033 0.154022 -5.04076e-06 -0.00150462 -0.174007 0.286613 -0.67962 0.0154068
0.12 0 -90.0 -0.24 0 0.060 0 0 0 0 -0.05 0.0576862 -0.224242 0.35116 -0.0387126 -0.482641 0.618848 -5.04076e-06 -0.00150462 -0.174007 0.286613 -0.67962 0.0154068
0.12 0 -90.0 -0.20 0 0.006 0 0 0 0 -0.05 0.00403898 -0.189457 1.08811 -2.90757 4.43622 -2.89092 -5.04076e-06 -0.00150462 -0.174007 0.286613 -0.67962 0.0154068
0.12 0 -90.0 -0.20 0 0.012 0 0 0 0 -0.05 0.0100435 -0.189097 0.98049 -2.51683 3.77954 -2.4261 -5.04076e-06 -0.00150462 -0.174007 0.286613 -0.67962 0.0154068
0.12 0 -90.0 -0.20 0 0.018 0 0 0 0 -0.05 0.016048 -0.188736 0.872874 -2.12608 3.12287 -1.96127 -5.04076e-06 -0.00150462 -0.174007 0.286613 -0.67962 0.0154068
