time(s) ref_x(m) zmp_x(m) cog_x(m) ref_y(m) zmp_y(m) cog_y(m) vel_x(m) vel_y(m) acc_x(m) acc_y(m)
1.44 0.193143 0.193122 0.163828 -0.00881418 -0.00886658 0.0203113 0.185669 -0.0270393 -1.06427 1.0601
1.45 0.193143 0.19312 0.165633 -0.00881418 -0.00886587 0.0200938 0.175354 -0.0164779 -0.998633 1.05218
1.46 0.193143 0.193118 0.167337 -0.00881418 -0.00886531 0.0199816 0.165678 -0.00597647 -0.936658 1.0481
1.47 0.193143 0.193117 0.168948 -0.00881418 -0.00886529 0.0199742 0.156604 0.00450324 -0.878095 1.04784
1.48 0.193143 0.193116 0.170471 -0.00881418 -0.00886544 0.0200717 0.1481 0.0149994 -0.822727 1.05139
1.49 0.193143 0.193115 0.171912 -0.00881418 -0.00886569 0.0202744 0.140134 0.0255502 -0.770353 1.05877
1.5 0.193143 0.193114 0.173276 -0.00881418 -0.00886606 0.020583 0.132679 0.036194 -0.720781 1.07
1.51 0.193143 0.193114 0.174567 -0.00881418 -0.00886653 0.0209987 0.125706 0.0469697 -0.673832 1.08512
1.52 0.193143 0.193113 0.175791 -0.00881418 -0.00886712 0.021523 0.11919 0.0579163 -0.629335 1.1042
1.53 0.193143 0.193112 0.176952 -0.00881418 -0.00886782 0.0221577 0.113108 0.0690737 -0.587127 1.12729
1.54 0.193143 0.193112 0.178055 -0.00881418 -0.00886864 0.0229053 0.107437 0.0804826 -0.547056 1.15449
1.55 0.193143 0.193111 0.179102 -0.00881418 -0.00886958 0.0237683 0.102156 0.0921844 -0.508975 1.18588
1.56 0.193143 0.193111 0.180099 -0.00881418 -0.00887065 0.0247501 0.0972479 0.104222 -0.472745 1.2216
1.57 0.193143 0.19311 0.181049 -0.00881418 -0.00887186 0.025854 0.092693 0.116639 -0.438236 1.26176
1.58 0.193143 0.19311 0.181954 -0.00881418 -0.0088732 0.0270843 0.0884752 0.12948 -0.405321 1.30651
1.59 0.193143 0.19311 0.182819 -0.00881418 -0.00887468 0.0284452 0.0845792 0.142793 -0.373881 1.35602
1.6 0.193143 0.193109 0.183647 -0.00881418 -0.00887633 0.0299418 0.0809908 0.156625 -0.3438 1.41046
1.61 0.193143 0.193109 0.18444 -0.00881418 -0.00887813 0.0315796 0.0776969 0.171027 -0.314971 1.47004
1.62 0.193143 0.193109 0.185202 -0.00881418 -0.0088801 0.0333645 0.0746856 0.186052 -0.287288 1.53496
1.63 0.193143 0.193109 0.185935 -0.00881418 -0.00888225 0.0353029 0.071946 0.201755 -0.260649 1.60548
1.64 0.193143 0.193108 0.186641 -0.00881418 -0.00888459 0.037402 0.0694679 0.218191 -0.234959 1.68183
