tar_x(m) tar_y(m) tar_th(deg) vel_x(m/s) vel_y(m/s) cog_x(m) cog_y(m) L(0)R(1) STATE(0-2) ZMP_x(m) ZMP_y(m) ax0 ax1 ax2 ax3 ax4 ax5 ay0 ay1 ay2 ay3 ay4 ay5
0.00 0 0 -0.40 0 0.036 0 0 0 0 0.05 0.0320939 -0.378149 1.67031 -4.13404 5.97207 -3.94768 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.40 0 0.042 0 0 0 0 0.05 0.0380984 -0.377788 1.56269 -3.74329 5.3154 -3.48285 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.40 0 0.048 0 0 0 0 0.05 0.0441029 -0.377427 1.45507 -3.35254 4.65872 -3.01802 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.40 0 0.054 0 0 0 0 0.05 0.0501074 -0.377067 1.34746 -2.9618 4.00205 -2.5532 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.40 0 0.060 0 0 0 0 0.05 0.056112 -0.376706 1.23984 -2.57105 3.34537 -2.08837 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.36 0 0.030 0 0 0 0 0.05 0.0264827 -0.340478 1.54632 -3.87693 5.63754 -3.73884 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.36 0 0.036 0 0 0 0 0.05 0.0324872 -0.340117 1.43871 -3.48619 4.98086 -3.27401 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.36 0 0.042 0 0 0 0 0.05 0.0384917 -0.339757 1.33109 -3.09544 4.32419 -2.80919 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.36 0 0.048 0 0 0 0 0.05 0.0444962 -0.339396 1.22347 -2.70469 3.66751 -2.34436 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.36 0 0.054 0 0 0 0 0.05 0.0505008 -0.339035 1.11586 -2.31395 3.01084 -1.87953 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.36 0 0.060 0 0 0 0 0.05 0.0565053 -0.338675 1.00824 -1.9232 2.35416 -1.41471 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.32 0 0.024 0 0 0 0 0.05 0.0208715 -0.302808 1.42234 -3.61983 5.303 -3.53 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.32 0 0.030 0 0 0 0 0.05 0.026876 -0.302447 1.31472 -3.22908 4.64632 -3.06517 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.32 0 0.036 0 0 0 0 0.05 0.0328805 -0.302086 1.2071 -2.83833 3.98965 -2.60035 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.32 0 0.042 0 0 0 0 0.05 0.0388851 -0.301725 1.09949 -2.44759 3.33297 -2.13552 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.32 0 0.048 0 0 0 0 0.05 0.0448896 -0.301365 0.991872 -2.05684 2.6763 -1.6707 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.32 0 0.054 0 0 0 0 0.05 0.0508941 -0.301004 0.884256 -1.6661 2.01962 -1.20587 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.32 0 0.060 0 0 0 0 0.05 0.0568986 -0.300643 0.77664 -1.27535 1.36295 -0.741045 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.28 0 0.018 0 0 0 0 0.05 0.0152603 -0.265137 1.29835 -3.36272 4.96846 -3.32116 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.28 0 0.024 0 0 0 0 0.05 0.0212648 -0.264776 1.19074 -2.97197 4.31179 -2.85634 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.28 0 0.030 0 0 0 0 0.05 0.0272694 -0.264416 1.08312 -2.58123 3.65511 -2.39151 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.28 0 0.036 0 0 0 0 0.05 0.0332739 -0.264055 0.975504 -2.19048 2.99844 -1.92669 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.28 0 0.042 0 0 0 0 0.05 0.0392784 -0.263694 0.867888 -1.79974 2.34176 -1.46186 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.28 0 0.048 0 0 0 0 0.05 0.0452829 -0.263333 0.760272 -1.40899 1.68509 -0.997034 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.28 0 0.054 0 0 0 0 0.05 0.0512874 -0.262973 0.652656 -1.01825 1.02841 -0.532208 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.28 0 0.060 0 0 0 0 0.05 0.0572919 -0.262612 0.545039 -0.627501 0.371738 -0.0673822 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.24 0 0.012 0 0 0 0 0.05 0.00964914 -0.227466 1.17437 -3.10561 4.63392 -3.11233 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.24 0 0.018 0 0 0 0 0.05 0.0156537 -0.227106 1.06675 -2.71487 3.97725 -2.6475 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.24 0 0.024 0 0 0 0 0.05 0.0216582 -0.226745 0.959137 -2.32412 3.32057 -2.18267 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.24 0 0.030 0 0 0 0 0.05 0.0276627 -0.226384 0.85152 -1.93338 2.6639 -1.71785 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.24 0 0.036 0 0 0 0 0.05 0.0336672 -0.226024 0.743904 -1.54263 2.00722 -1.25302 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.24 0 0.042 0 0 0 0 0.05 0.0396717 -0.225663 0.636288 -1.15189 1.35055 -0.788197 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.24 0 0.048 0 0 0 0 0.05 0.0456762 -0.225302 0.528672 -0.761141 0.693875 -0.323371 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.24 0 0.054 0 0 0 0 0.05 0.0516807 -0.224941 0.421055 -0.370396 0.0372001 0.141455 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.24 0 0.060 0 0 0 0 0.05 0.0576852 -0.224581 0.313439 0.0203496 -0.619475 0.606281 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.20 0 0.006 0 0 0 0 0.05 0.00403795 -0.189796 1.05039 -2.84851 4.29939 -2.90349 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.20 0 0.012 0 0 0 0 0.05 0.0100425 -0.189435 0.942769 -2.45776 3.64271 -2.43866 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.20 0 0.018 0 0 0 0 0.05 0.016047 -0.189074 0.835153 -2.06702 2.98604 -1.97384 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.20 0 0.024 0 0 0 0 0.05 0.0220515 -0.188714 0.727536 -1.67627 2.32936 -1.50901 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.20 0 0.030 0 0 0 0 0.05 0.028056 -0.188353 0.61992 -1.28553 1.67269 -1.04419 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.20 0 0.036 0 0 0 0 0.05 0.0340605 -0.187992 0.512304 -0.894781 1.01601 -0.57936 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.20 0 0.042 0 0 0 0 0.05 0.040065 -0.187631 0.404688 -0.504036 0.359337 -0.114534 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.20 0 0.048 0 0 0 0 0.05 0.0460695 -0.187271 0.297071 -0.113291 -0.297337 0.350292 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.20 0 0.054 0 0 0 0 0.05 0.052074 -0.18691 0.189455 0.277455 -0.954012 0.815118 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.20 0 0.060 0 0 0 0 0.05 0.0580785 -0.186549 0.0818387 0.6682 -1.61069 1.27994 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.16 0 0.000 0 0 0 0 0.05 -0.00157325 -0.152125 0.926401 -2.5914 3.96485 -2.69465 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.16 0 0.006 0 0 0 0 0.05 0.00443126 -0.151765 0.818785 -2.20066 3.30817 -2.22983 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.16 0 0.012 0 0 0 0 0.05 0.0104358 -0.151404 0.711169 -1.80991 2.6515 -1.765 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.16 0 0.018 0 0 0 0 0.05 0.0164403 -0.151043 0.603552 -1.41917 1.99482 -1.30017 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.16 0 0.024 0 0 0 0 0.05 0.0224448 -0.150682 0.495936 -1.02842 1.33815 -0.835349 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.16 0 0.030 0 0 0 0 0.05 0.0284493 -0.150322 0.38832 -0.637676 0.681475 -0.370523 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.16 0 0.036 0 0 0 0 0.05 0.0344538 -0.149961 0.280704 -0.246931 0.0248001 0.0943033 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.16 0 0.042 0 0 0 0 0.05 0.0404583 -0.1496 0.173087 0.143815 -0.631875 0.559129 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.16 0 0.048 0 0 0 0 0.05 0.0464628 -0.149239 0.065471 0.53456 -1.28855 1.02396 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.16 0 0.054 0 0 0 0 0.05 0.0524673 -0.148879 -0.0421453 0.925306 -1.94522 1.48878 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.12 0 -0.006 0 0 0 0 0.05 -0.00718444 -0.114455 0.802417 -2.3343 3.63031 -2.48582 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.12 0 0.000 0 0 0 0 0.05 -0.00117993 -0.114094 0.694801 -1.94355 2.97364 -2.02099 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.12 0 0.006 0 0 0 0 0.05 0.00482457 -0.113733 0.587185 -1.55281 2.31696 -1.55616 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.12 0 0.012 0 0 0 0 0.05 0.0108291 -0.113372 0.479568 -1.16206 1.66029 -1.09134 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.12 0 0.018 0 0 0 0 0.05 0.0168336 -0.113012 0.371952 -0.771316 1.00361 -0.626511 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.12 0 0.024 0 0 0 0 0.05 0.0228381 -0.112651 0.264336 -0.380571 0.346937 -0.161685 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.12 0 0.030 0 0 0 0 0.05 0.0288426 -0.11229 0.15672 0.0101748 -0.309737 0.30314 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.12 0 0.036 0 0 0 0 0.05 0.0348471 -0.11193 0.0491032 0.40092 -0.966412 0.767966 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.12 0 0.042 0 0 0 0 0.05 0.0408516 -0.111569 -0.0585131 0.791666 -1.62309 1.23279 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.12 0 0.048 0 0 0 0 0.05 0.0468561 -0.111208 -0.166129 1.18241 -2.27976 1.69762 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.08 0 -0.018 0 0 0 0 0.05 -0.0188001 -0.0771448 0.786049 -2.46794 3.95245 -2.7418 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.08 0 -0.012 0 0 0 0 0.05 -0.0127956 -0.0767841 0.678433 -2.07719 3.29577 -2.27698 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.08 0 -0.006 0 0 0 0 0.05 -0.00679113 -0.0764234 0.570817 -1.68645 2.6391 -1.81215 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.08 0 0.000 0 0 0 0 0.05 -0.000786623 -0.0760626 0.463201 -1.2957 1.98242 -1.34733 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.08 0 0.006 0 0 0 0 0.05 0.00521788 -0.0757019 0.355584 -0.904956 1.32575 -0.8825 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.08 0 0.012 0 0 0 0 0.05 0.0112224 -0.0753412 0.247968 -0.514211 0.669075 -0.417674 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.08 0 0.018 0 0 0 0 0.05 0.0172269 -0.0749804 0.140352 -0.123465 0.0124 0.0471516 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.08 0 0.024 0 0 0 0 0.05 0.0232314 -0.0746197 0.0327355 0.26728 -0.644275 0.511978 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.08 0 0.030 0 0 0 0 0.05 0.0292359 -0.074259 -0.0748808 0.658026 -1.30095 0.976803 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.08 0 0.036 0 0 0 0 0.05 0.0352404 -0.0738982 -0.182497 1.04877 -1.95762 1.44163 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.08 0 0.042 0 0 0 0 0.05 0.0412449 -0.0735375 -0.290113 1.43952 -2.6143 1.90646 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.04 0 -0.024 0 0 0 0 0.05 -0.0244113 -0.0394743 0.662065 -2.21083 3.61791 -2.53297 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.04 0 -0.018 0 0 0 0 0.05 -0.0184068 -0.0391135 0.554449 -1.82009 2.96124 -2.06814 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.04 0 -0.012 0 0 0 0 0.05 -0.0124023 -0.0387528 0.446833 -1.42934 2.30456 -1.60331 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.04 0 -0.006 0 0 0 0 0.05 -0.00639782 -0.0383921 0.339217 -1.0386 1.64789 -1.13849 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.04 0 0.000 0 0 0 0 0.05 -0.000393312 -0.0380313 0.2316 -0.647851 0.991212 -0.673663 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.04 0 0.006 0 0 0 0 0.05 0.0056112 -0.0376706 0.123984 -0.257105 0.334537 -0.208837 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.04 0 0.012 0 0 0 0 0.05 0.0116157 -0.0373099 0.0163677 0.13364 -0.322137 0.255989 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.04 0 0.018 0 0 0 0 0.05 0.0176202 -0.0369491 -0.0912485 0.524386 -0.978812 0.720815 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.04 0 0.024 0 0 0 0 0.05 0.0236247 -0.0365884 -0.198865 0.915131 -1.63549 1.18564 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.04 0 0.030 0 0 0 0 0.05 0.0296292 -0.0362277 -0.306481 1.30588 -2.29216 1.65047 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.04 0 0.036 0 0 0 0 0.05 0.0356337 -0.0358669 -0.414097 1.69662 -2.94884 2.11529 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.00 0 -0.030 0 0 0 0 0.05 -0.0300225 -0.00180367 0.538081 -1.95373 3.28337 -2.32413 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.00 0 -0.024 0 0 0 0 0.05 -0.024018 -0.00144294 0.430465 -1.56298 2.6267 -1.8593 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.00 0 -0.018 0 0 0 0 0.05 -0.0180135 -0.0010822 0.322849 -1.17224 1.97002 -1.39448 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.00 0 -0.012 0 0 0 0 0.05 -0.012009 -0.000721468 0.215233 -0.781491 1.31335 -0.929652 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.00 0 0 -0.00 0 -0.006 0 0 0 0 0.05 -0.00600451 -0.000360734 0.107616 -0.390745 0.656675 -0.464826 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
