time(s) ref_x(m) zmp_x(m) cog_x(m) ref_y(m) zmp_y(m) cog_y(m) vel_x(m) vel_y(m) acc_x(m) acc_y(m)
0.46 0 -0.000187031 0.00935397 -0.05 -0.0493752 -0.0248819 0.0589415 -0.000735695 0.346352 0.891322
0.47 0 -0.00017866 0.00996106 -0.05 -0.0494137 -0.0248446 0.0625139 0.00819089 0.368126 0.893996
0.48 0 -0.00017084 0.010605 -0.05 -0.04945 -0.0247179 0.0663108 0.0171601 0.391257 0.899848
0.49 0 -0.000163546 0.0112881 -0.05 -0.0494844 -0.0245012 0.0703463 0.0262039 0.415829 0.908902
0.5 0 -0.000156753 0.0120128 -0.05 -0.0495168 -0.0241935 0.0746351 0.0353544 0.44193 0.921196
0.51 0 -0.000150436 0.0127817 -0.05 -0.0495475 -0.0237936 0.079193 0.0446442 0.469654 0.936778
0.52 0 -0.000144576 0.0135976 -0.05 -0.0495765 -0.0233 0.0840367 0.0541067 0.499101 0.95571
0.53 0 -0.00013915 0.0144634 -0.05 -0.049604 -0.0227108 0.0891841 0.0637755 0.530378 0.978063
0.54 0 -0.000134141 0.0153823 -0.05 -0.04963 -0.0220237 0.094654 0.0736854 0.563598 1.00392
0.55 0 -0.000129533 0.0163576 -0.05 -0.0496546 -0.0212362 0.100466 0.083872 0.598881 1.03338
0.56 0 -0.00012531 0.0173929 -0.05 -0.049678 -0.0203452 0.106643 0.0943717 0.636354 1.06656
0.57 0 -0.000121458 0.0184918 -0.05 -0.0497001 -0.0193476 0.113205 0.105222 0.676154 1.10358
0.58 0 -0.000117966 0.0196583 -0.05 -0.0497212 -0.0182395 0.120178 0.116463 0.718425 1.14457
0.59 0 -0.000114822 0.0208968 -0.05 -0.0497413 -0.0170169 0.127587 0.128134 0.76332 1.18968
0.6 0 -0.000112017 0.0222116 -0.05 -0.0497604 -0.0156752 0.135458 0.140278 0.811002 1.23909
0.61 0 -0.000109542 0.0236076 -0.05 -0.0497786 -0.0142096 0.143822 0.152939 0.861644 1.29297
0.62 0 -0.000107386 0.0250898 -0.05 -0.049796 -0.0126146 0.152707 0.166161 0.915429 1.35153
0.63 0 -0.000105487 0.0266636 -0.05 -0.0498126 -0.0108843 0.162147 0.179993 0.972531 1.41494
0.64 0 -0.000103327 0.0283347 -0.05 -0.0498275 -0.00901251 0.172174 0.194484 1.03298 1.48314
0.65 0 -9.60412e-05 0.0301091 -0.05 -0.0498328 -0.00699234 0.182816 0.209667 1.09533 1.55359
0.66 0 -3.7651e-05 0.0319929 -0.05 -0.0497518 -0.00481721 0.194013 0.225437 1.14401 1.60023
0.67 0 0.000506444 0.0339883 -0.05 -0.0488603 -0.0024866 0.204882 0.240309 1.02982 1.37429
0.68 0 0.00564448 0.0360604 -0.05 -0.0403112 -6.23317e-05 0.206734 0.23979 -0.659474 -1.47811
0.69 0.06 0.0542111 0.0380929 0.05 0.0406197 0.00225789 0.199575 0.223877 -0.772297 -1.70447
0.7 0.06 0.0593488 0.0400509 0.05 0.04917 0.0044122 0.192109 0.207061 -0.720903 -1.65868
0.71 0.06 0.0598923 0.0419371 0.05 0.050064 0.00640103 0.185232 0.19082 -0.654459 -1.5895
0.72 0.06 0.0599497 0.0437577 0.05 0.0501488 0.00823087 0.179017 0.175258 -0.588526 -1.52301
0.73 0.06 0.0599557 0.0455196 0.05 0.0501486 0.00990832 0.173452 0.160334 -0.524533 -1.46175
0.74 0.06 0.0599563 0.0472289 0.05 0.05014 0.0114395 0.168517 0.145996 -0.462426 -1.40579
0.75 0.06 0.0599562 0.0488919 0.05 0.0501311 0.01283 0.164195 0.132193 -0.401997 -1.35497
0.76 0.06 0.0599561 0.0505148 0.05 0.0501227 0.014085 0.16047 0.118872 -0.343029 -1.30909
0.77 0.06 0.0599559 0.0521033 0.05 0.0501148 0.0152089 0.157328 0.105987 -0.285306 -1.26798
0.78 0.06 0.0599557 0.0536632 0.05 0.0501075 0.016206 0.154758 0.0934894 -0.228619 -1.23151
0.79 0.06 0.0599555 0.0552003 0.05 0.0501008 0.0170798 0.152751 0.0813342 -0.172753 -1.19954
0.8 0.06 0.059955 0.0567201 0.05 0.0500947 0.0178337 0.1513 0.0694768 -0.117513 -1.17195
0.81 0.06 0.0599544 0.0582281 0.05 0.0500891 0.0184702 0.150399 0.0578739 -0.0626994 -1.14863
0.82 0.06 0.0599538 0.0597299 0.05 0.050084 0.0189919 0.150045 0.0464832 -0.00811219 -1.12951
0.83 0.06 0.0599532 0.0612309 0.05 0.0500792 0.0194005 0.150237 0.0352631 0.0464469 -1.1145
0.84 0.06 0.0599525 0.0627365 0.05 0.0500749 0.0196976 0.150975 0.0241727 0.101177 -1.10356
0.85 0.06 0.0599518 0.0642522 0.05 0.0500709 0.0198842 0.152262 0.0131717 0.156276 -1.09665
0.86 0.06 0.059951 0.0657836 0.05 0.0500673 0.0199612 0.154103 0.00221973 0.211945 -1.09374
0.87 0.06 0.0599502 0.0673361 0.05 0.050064 0.0199286 0.156505 -0.008723 0.268387 -1.09481
0.88 0.06 0.0599493 0.0689155 0.05 0.050061 0.0197866 0.159476 -0.0196964 0.325807 -1.09988
0.89 0.06 0.0599484 0.0705276 0.05 0.0500584 0.0195345 0.163027 -0.0307406 0.384415 -1.10895
0.9 0.06 0.0599473 0.0721781 0.05 0.0500561 0.0191714 0.167171 -0.0418957 0.444423 -1.12207
0.91 0.06 0.0599462 0.073873 0.05 0.050054 0.0186961 0.171923 -0.0532024 0.506049 -1.13928
0.92 0.06 0.0599451 0.0756186 0.05 0.0500523 0.0181067 0.177301 -0.0647019 0.569519 -1.16064
0.93 0.06 0.0599438 0.0774212 0.05 0.0500508 0.0174012 0.183324 -0.0764363 0.635063 -1.18623
0.94 0.06 0.0599424 0.0792873 0.05 0.0500497 0.0165771 0.190014 -0.0884481 0.70292 -1.21614
0.95 0.06 0.0599409 0.0812238 0.05 0.0500488 0.0156312 0.197395 -0.100781 0.773336 -1.25048
0.96 0.06 0.0599393 0.0832376 0.05 0.0500482 0.0145602 0.205495 -0.113481 0.846566 -1.28938
0.97 0.06 0.0599376 0.0853362 0.05 0.0500478 0.0133602 0.214342 -0.126592 0.922852 -1.33295
0.98 0.06 0.0599366 0.0875271 0.05 0.0500468 0.0120268 0.223967 -0.140162 1.00225 -1.38107
0.99 0.06 0.0599421 0.0898182 0.05 0.050038 0.0105553 0.234394 -0.154225 1.08297 -1.43144
1 0.06 0.0600117 0.0922173 0.05 0.0499529 0.00894103 0.245536 -0.168686 1.14557 -1.46071
1.01 0.06 0.0606879 0.0947276 0.05 0.049144 0.0071847 0.256283 -0.182221 1.00382 -1.24647
1.02 0.06 0.0670994 0.0973055 0.05 0.0414913 0.00534286 0.255776 -0.181877 -1.10535 1.31528
1.03 0.134905 0.127728 0.0998056 -0.0393828 -0.0308576 0.00359343 0.244012 -0.167652 -1.24746 1.52976
1.04 0.134905 0.134139 0.102184 -0.0393828 -0.0385101 0.00199291 0.231846 -0.152498 -1.1856 1.50099
1.05 0.134905 0.134816 0.104445 -0.0393828 -0.0393187 0.000542151 0.220388 -0.137737 -1.10599 1.45135
1.06 0.134905 0.134885 0.106595 -0.0393828 -0.0394034 -0.000763434 0.209718 -0.123459 -1.02808 1.40422
1.07 0.134905 0.134891 0.108642 -0.0393828 -0.0394116 -0.00192852 0.199809 -0.109628 -0.953665 1.3619
1.08 0.134905 0.134889 0.110593 -0.0393828 -0.0394119 -0.00295733 0.190627 -0.0961963 -0.882694 1.3245
1.09 0.134905 0.134888 0.112457 -0.0393828 -0.0394114 -0.00385361 0.182139 -0.0831142 -0.814933 1.29192
1.1 0.134905 0.134886 0.114238 -0.0393828 -0.039411 -0.00462062 0.174314 -0.0703345 -0.750138 1.26404
1.11 0.134905 0.134884 0.115945 -0.0393828 -0.0394107 -0.00526115 0.167123 -0.0578105 -0.688073 1.24076
1.12 0.134905 0.134883 0.117583 -0.0393828 -0.0394105 -0.00577753 0.16054 -0.0454967 -0.628514 1.22199
1.13 0.134905 0.134881 0.119158 -0.0393828 -0.0394104 -0.00617164 0.154541 -0.0333484 -0.571241 1.20767
1.14 0.134905 0.13488 0.120676 -0.0393828 -0.0394104 -0.0064449 0.149105 -0.0213213 -0.516049 1.19775
1.15 0.134905 0.134879 0.122142 -0.0393828 -0.0394105 -0.00659832 0.144211 -0.00937158 -0.462734 1.19219
1.16 0.134905 0.134877 0.123562 -0.0393828 -0.0394108 -0.00663245 0.139842 0.00254414 -0.411104 1.19096
1.17 0.134905 0.134876 0.12494 -0.0393828 -0.0394111 -0.00654741 0.135981 0.0144693 -0.36097 1.19407
1.18 0.134905 0.134875 0.126283 -0.0393828 -0.0394116 -0.00634289 0.132616 0.0264472 -0.312149 1.20152
1.19 0.134905 0.134874 0.127594 -0.0393828 -0.0394122 -0.00601814 0.129733 0.0385215 -0.264465 1.21334
1.2 0.134905 0.134873 0.128879 -0.0393828 -0.039413 -0.00557199 0.127322 0.0507362 -0.217744 1.22959
1.21 0.134905 0.134872 0.130142 -0.0393828 -0.0394138 -0.0050028 0.125374 0.0631356 -0.171814 1.2503
1.22 0.134905 0.134871 0.131388 -0.0393828 -0.0394148 -0.00430851 0.123882 0.075765 -0.12651 1.27557
1.23 0.134905 0.13487 0.132621 -0.0393828 -0.0394159 -0.00348658 0.122841 0.0886702 -0.0816664 1.30548
1.24 0.134905 0.134869 0.133846 -0.0393828 -0.0394171 -0.00253403 0.122247 0.101898 -0.0371197 1.34014
1.25 0.134905 0.134868 0.135068 -0.0393828 -0.0394185 -0.00144738 0.122098 0.115497 0.00729213 1.37967
1.26 0.134905 0.134867 0.13629 -0.0393828 -0.0394201 -0.000222682 0.122393 0.129517 0.0517307 1.42423
1.27 0.134905 0.134866 0.137517 -0.0393828 -0.0394218 0.00114453 0.123134 0.144008 0.0963579 1.47398
1.28 0.134905 0.134865 0.138754 -0.0393828 -0.0394236 0.00265922 0.124322 0.159023 0.141336 1.52908
1.29 0.134905 0.134864 0.140005 -0.0393828 -0.0394257 0.00432692 0.125963 0.174617 0.186829 1.58976
1.3 0.134905 0.134863 0.141275 -0.0393828 -0.0394279 0.00615369 0.128062 0.190847 0.233001 1.65621
1.31 0.134905 0.134862 0.142568 -0.0393828 -0.0394302 0.00814618 0.130627 0.207772 0.280012 1.72866
1.32 0.134905 0.134861 0.143889 -0.0393828 -0.0394316 0.0103116 0.133667 0.22545 0.327957 1.80702
1.33 0.134905 0.134862 0.145243 -0.0393828 -0.0394229 0.0126578 0.137188 0.243927 0.376281 1.88842
1.34 0.134905 0.134886 0.146634 -0.0393828 -0.0393171 0.0151925 0.141161 0.263086 0.41827 1.94323
1.35 0.134905 0.135122 0.148066 -0.0393828 -0.038291 0.0179162 0.145197 0.281245 0.388955 1.68875
1.36 0.134905 0.137361 0.149526 -0.0393828 -0.0285631 0.0207591 0.145505 0.281938 -0.327377 -1.55014
1.37 0.161066 0.158536 0.150964 0.0742639 0.0634237 0.0234968 0.142086 0.265167 -0.356468 -1.80412
1.38 0.161066 0.160775 0.152368 0.0742639 0.0731516 0.0260592 0.138733 0.247405 -0.314029 -1.74831
1.39 0.161066 0.161011 0.15374 0.0742639 0.0741777 0.0284472 0.135838 0.230337 -0.265028 -1.66539
1.4 0.161066 0.161034 0.155086 0.0742639 0.0742835 0.0306686 0.133432 0.214085 -0.216178 -1.58499
1.41 0.161066 0.161036 0.15641 0.0742639 0.0742922 0.0327315 0.131511 0.19861 -0.168029 -1.50999
1.42 0.161066 0.161035 0.157718 0.0742639 0.0742909 0.0346432 0.130068 0.183858 -0.120482 -1.44045
1.43 0.161066 0.161034 0.159013 0.0742639 0.0742886 0.0364109 0.129099 0.169775 -0.0733733 -1.37615
1.44 0.161066 0.161033 0.160301 0.0742639 0.0742864 0.0380408 0.1286 0.15631 -0.0265314 -1.31685
1.45 0.161066 0.161032 0.161587 0.0742639 0.0742845 0.0395389 0.128568 0.143414 0.020214 -1.26235
1.46 0.161066 0.16103 0.162874 0.0742639 0.0742827 0.0409108 0.129004 0.131039 0.0670328 -1.21245
1.47 0.161066 0.161029 0.164168 0.0742639 0.074281 0.0421613 0.12991 0.119142 0.114096 -1.16696
1.48 0.161066 0.161028 0.165474 0.0742639 0.0742796 0.0432951 0.131288 0.107679 0.161574 -1.12572
1.49 0.161066 0.161027 0.166796 0.0742639 0.0742782 0.0443162 0.133144 0.0966075 0.20964 -1.08858
1.5 0.161066 0.161026 0.168139 0.0742639 0.0742771 0.0452284 0.135485 0.0858876 0.25847 -1.0554
1.51 0.161066 0.161025 0.169507 0.0742639 0.0742761 0.046035 0.138318 0.0754803 0.30824 -1.02606
1.52 0.161066 0.161023 0.170907 0.0742639 0.0742752 0.0467389 0.141655 0.0653477 0.359132 -1.00046
1.53 0.161066 0.161022 0.172342 0.0742639 0.0742745 0.0473428 0.145508 0.0554529 0.411332 -0.978497
1.54 0.161066 0.161021 0.173818 0.0742639 0.0742738 0.0478487 0.149889 0.04576 0.465029 -0.960098
1.55 0.161066 0.161019 0.175342 0.0742639 0.0742734 0.0482585 0.154817 0.0362335 0.52042 -0.945194
1.56 0.161066 0.161018 0.176917 0.0742639 0.074273 0.0485738 0.160307 0.0268389 0.577704 -0.93373
1.57 0.161066 0.161017 0.17855 0.0742639 0.0742728 0.0487956 0.166381 0.0175419 0.637092 -0.925666
1.58 0.161066 0.161015 0.180246 0.0742639 0.0742727 0.0489248 0.173061 0.00830873 0.698799 -0.920972
1.59 0.161066 0.161013 0.182013 0.0742639 0.0742727 0.0489619 0.18037 -0.000894279 0.76305 -0.91963
1.6 0.161066 0.161012 0.183856 0.0742639 0.0742728 0.0489069 0.188336 -0.0101006 0.830079 -0.921636
1.61 0.161066 0.16101 0.185782 0.0742639 0.074273 0.0487598 0.196987 -0.0193438 0.900131 -0.926997
1.62 0.161066 0.161008 0.187798 0.0742639 0.0742734 0.0485198 0.206355 -0.0286574 0.973459 -0.935732
1.63 0.161066 0.161006 0.189912 0.0742639 0.0742739 0.0481863 0.216474 -0.0380754 1.05033 -0.947874
1.64 0.161066 0.161003 0.19213 0.0742639 0.0742745 0.0477578 0.22738 -0.0476321 1.13102 -0.963464
1.65 0.161066 0.161001 0.194462 0.0742639 0.0742752 0.047233 0.239114 -0.0573621 1.2158 -0.98254
1.66 0.161066 0.161 0.196915 0.0742639 0.0742754 0.0466099 0.251717 -0.0672998 1.30467 -1.00499
1.67 0.161066 0.161007 0.199499 0.0742639 0.0742702 0.0458863 0.265216 -0.0774706 1.39522 -1.02917
1.68 0.161066 0.161099 0.202222 0.0742639 0.074212 0.0450599 0.279501 -0.0878108 1.46173 -1.03888
1.69 0.161066 0.161991 0.205087 0.0742639 0.073653 0.0441325 0.293102 -0.0974061 1.25837 -0.880166
1.7 0.161066 0.170453 0.208034 0.0742639 0.0683573 0.0431442 0.291684 -0.0972909 -1.54185 0.903192
1.71 0.259926 0.250471 0.210871 0.0124027 0.0182857 0.0422191 0.275244 -0.087465 -1.74625 1.06199
1.72 0.259926 0.258933 0.213537 0.0124027 0.01299 0.0413974 0.258103 -0.0768928 -1.68181 1.05245
1.73 0.259926 0.259825 0.216035 0.0124027 0.0124309 0.0406807 0.241722 -0.066488 -1.59437 1.02852
1.74 0.259926 0.259917 0.218374 0.0124027 0.0123728 0.0400668 0.226202 -0.0563134 -1.50966 1.00641
1.75 0.259926 0.259924 0.220562 0.0124027 0.0123676 0.0395537 0.211503 -0.0463426 -1.43011 0.987755
1.76 0.259926 0.259923 0.222607 0.0124027 0.0123678 0.0391394 0.197574 -0.0365404 -1.35574 0.972678
1.77 0.259926 0.259921 0.224516 0.0124027 0.0123685 0.0388225 0.184364 -0.0268713 -1.2863 0.961139
1.78 0.259926 0.259919 0.226296 0.0124027 0.0123691 0.0386017 0.171825 -0.0173002 -1.22155 0.953099
1.79 0.259926 0.259917 0.227954 0.0124027 0.0123696 0.0384763 0.159911 -0.00779202 -1.16124 0.948528
1.8 0.259926 0.259915 0.229496 0.0124027 0.01237 0.0384457 0.148579 0.00168766 -1.10515 0.94741
1.81 0.259926 0.259913 0.230928 0.0124027 0.0123702 0.03851 0.137788 0.0111734 -1.05309 0.94974
1.82 0.259926 0.259912 0.232254 0.0124027 0.0123704 0.0386693 0.127498 0.0206998 -1.00487 0.955528
1.83 0.259926 0.259911 0.233479 0.0124027 0.0123704 0.0389243 0.117672 0.0303014 -0.960297 0.964794
1.84 0.259926 0.259909 0.234609 0.0124027 0.0123703 0.0392757 0.108274 0.0400132 -0.919223 0.977572
1.85 0.259926 0.259908 0.235646 0.0124027 0.0123701 0.039725 0.0992707 0.0498706 -0.881495 0.993908
1.86 0.259926 0.259907 0.236595 0.0124027 0.0123698 0.0402738 0.0906283 0.0599094 -0.846976 1.01386
1.87 0.259926 0.259907 0.23746 0.0124027 0.0123693 0.0409239 0.0823158 0.0701663 -0.815539 1.03751
1.88 0.259926 0.259906 0.238243 0.0124027 0.0123687 0.0416779 0.0743027 0.0806785 -0.787071 1.06493
1.89 0.259926 0.259905 0.238947 0.0124027 0.012368 0.0425385 0.06656 0.0914842 -0.761468 1.09623
1.9 0.259926 0.259905 0.239575 0.0124027 0.0123671 0.0435087 0.0590595 0.102623 -0.738636 1.13151
1.91 0.259926 0.259904 0.240129 0.0124027 0.0123662 0.0445922 0.0517739 0.114135 -0.718493 1.17092
1.92 0.259926 0.259904 0.240611 0.0124027 0.012365 0.0457928 0.0446766 0.126063 -0.700965 1.21459
1.93 0.259926 0.259903 0.241023 0.0124027 0.0123637 0.047115 0.0377418 0.138449 -0.685988 1.26268
1.94 0.259926 0.259903 0.241366 0.0124027 0.0123623 0.0485635 0.0309443 0.151339 -0.673508 1.31537
1.95 0.259926 0.259903 0.241642 0.0124027 0.0123607 0.0501436 0.0242594 0.16478 -0.66348 1.37284
1.96 0.259926 0.259903 0.241851 0.0124027 0.0123589 0.0518611 0.0176626 0.178821 -0.655867 1.43532
1.97 0.259926 0.259903 0.241995 0.0124027 0.012357 0.0537222 0.0111301 0.193513 -0.65064 1.50301
1.98 0.259926 0.259903 0.242074 0.0124027 0.0123548 0.0557337 0.004638 0.208909 -0.647781 1.57618
1.99 0.259926 0.259903 0.242088 0.0124027 0.0123526 0.0579029 -0.00183725 0.225065 -0.64727 1.65504
2 0.259926 0.259903 0.242037 0.0124027 0.0123513 0.0602377 -0.00831872 0.242038 -0.649022 1.73956
2.01 0.259926 0.2599 0.241922 0.0124027 0.01236 0.0627465 -0.0148251 0.25987 -0.652256 1.82688
2.02 0.259926 0.259874 0.241741 0.0124027 0.0124653 0.0654376 -0.0213341 0.278442 -0.649534 1.88754
2.03 0.259926 0.259618 0.241496 0.0124027 0.0134869 0.0683122 -0.0274339 0.29608 -0.57044 1.64012
2.04 0.259926 0.257197 0.241207 0.0124027 0.0231712 0.0713014 -0.0290318 0.296389 0.250865 -1.57847
2.05 0.231642 0.234303 0.240931 0.12554 0.114746 0.0741822 -0.0261335 0.279368 0.328796 -1.82566
2.06 0.231642 0.231881 0.240686 0.12554 0.12443 0.0768857 -0.0228436 0.261417 0.329187 -1.76455
2.07 0.231642 0.231626 0.240474 0.12554 0.125451 0.0794131 -0.0195854 0.244211 0.322449 -1.67655
2.08 0.231642 0.231599 0.240294 0.12554 0.125557 0.0817728 -0.0163932 0.227873 0.316003 -1.59113
2.09 0.231642 0.231597 0.240146 0.12554 0.125565 0.0839733 -0.0132601 0.212362 0.310614 -1.51113
2.1 0.231642 0.231597 0.240029 0.12554 0.125564 0.0860226 -0.0101753 0.197623 0.306347 -1.43659
2.11 0.231642 0.231597 0.239942 0.12554 0.125562 0.0879281 -0.00712756 0.183604 0.303194 -1.36727
2.12 0.231642 0.231597 0.239886 0.12554 0.125559 0.0896969 -0.00410587 0.170253 0.301145 -1.30293
2.13 0.231642 0.231598 0.23986 0.12554 0.125557 0.0913353 -0.00109918 0.157521 0.300192 -1.24334
2.14 0.231642 0.231598 0.239864 0.12554 0.125556 0.0928492 0.00190344 0.145363 0.300332 -1.18827
2.15 0.231642 0.231598 0.239898 0.12554 0.125554 0.0942443 0.00491293 0.133734 0.301566 -1.13753
2.16 0.231642 0.231598 0.239962 0.12554 0.125552 0.0955255 0.00794024 0.122592 0.303897 -1.09092
2.17 0.231642 0.231598 0.240057 0.12554 0.125551 0.0966976 0.0109964 0.111896 0.307335 -1.04829
2.18 0.231642 0.231598 0.240182 0.12554 0.12555 0.0977648 0.0140925 0.101607 0.311892 -1.00948
2.19 0.231642 0.231598 0.240339 0.12554 0.125549 0.098731 0.0172399 0.0916881 0.317584 -0.974337
2.2 0.231642 0.231598 0.240527 0.12554 0.125548 0.0995997 0.02045 0.0821027 0.324432 -0.942742
2.21 0.231642 0.231598 0.240748 0.12554 0.125547 0.100374 0.0237345 0.0728161 0.332462 -0.914579
2.22 0.231642 0.231598 0.241002 0.12554 0.125546 0.101057 0.0271053 0.0637945 0.341701 -0.889745
2.23 0.231642 0.231598 0.241291 0.12554 0.125545 0.101651 0.0305747 0.055005 0.352185 -0.86815
2.24 0.231642 0.231598 0.241614 0.12554 0.125545 0.102158 0.0341554 0.0464157 0.36395 -0.849715
2.25 0.231642 0.231597 0.241974 0.12554 0.125544 0.10258 0.0378603 0.0379953 0.377041 -0.834372
2.26 0.231642 0.231597 0.242372 0.12554 0.125544 0.102918 0.0417031 0.0297131 0.391504 -0.822067
2.27 0.231642 0.231597 0.242809 0.12554 0.125544 0.103174 0.0456976 0.021539 0.407392 -0.812754
2.28 0.231642 0.231596 0.243286 0.12554 0.125544 0.103349 0.0498583 0.0134432 0.424764 -0.806399
2.29 0.231642 0.231596 0.243807 0.12554 0.125544 0.103443 0.0542006 0.00539633 0.443681 -0.802979
2.3 0.231642 0.231595 0.244371 0.12554 0.125544 0.103457 0.05874 -0.00263097 0.464214 -0.802482
2.31 0.231642 0.231595 0.244982 0.12554 0.125544 0.103391 0.0634933 -0.0106679 0.486437 -0.804906
2.32 0.231642 0.231594 0.245642 0.12554 0.125544 0.103244 0.0684776 -0.0187437 0.510429 -0.810258
2.33 0.231642 0.231593 0.246352 0.12554 0.125544 0.103015 0.0737111 -0.0268878 0.536267 -0.818548
