time(s) ref_x(m) zmp_x(m) cog_x(m) ref_y(m) zmp_y(m) cog_y(m) vel_x(m) vel_y(m) acc_x(m) acc_y(m)
0.47 0 -9.97307e-05 0.00961278 0.05 0.0447289 0.0176391 0.0623262 0.0248588 0.352791 -0.995523
0.48 0 -9.70605e-05 0.0102541 0.05 0.0450388 0.0178378 0.0659702 0.0148866 0.376002 -0.998907
0.49 0 -9.46142e-05 0.010933 0.05 0.0453307 0.0179366 0.0698531 0.00486557 0.400588 -1.00531
0.5 0 -9.23835e-05 0.011652 0.05 0.0456056 0.0179349 0.0739892 -0.00523484 0.426638 -1.01478
0.51 0 -9.03615e-05 0.0124137 0.05 0.0458645 0.0178316 0.0783937 -0.0154457 0.454246 -1.02739
0.52 0 -8.85421e-05 0.0132208 0.05 0.0461085 0.0176255 0.0830825 -0.0257988 0.483514 -1.04323
0.53 0 -8.69199e-05 0.0140763 0.05 0.0463383 0.017315 0.0880728 -0.0363269 0.514545 -1.06238
0.54 0 -8.54904e-05 0.0149833 0.05 0.0465548 0.0168983 0.0933828 -0.0470634 0.547455 -1.08493
0.55 0 -8.425e-05 0.0159451 0.05 0.0467587 0.0163729 0.0990318 -0.0580431 0.582361 -1.111
0.56 0 -8.31957e-05 0.0169651 0.05 0.0469509 0.0157365 0.105041 -0.0693016 0.619392 -1.14071
0.57 0 -8.23254e-05 0.0180472 0.05 0.0471321 0.0149859 0.111431 -0.0808761 0.65868 -1.17418
0.58 0 -8.16376e-05 0.0191951 0.05 0.0473028 0.0141178 0.118226 -0.0928048 0.70037 -1.21157
0.59 0 -8.11318e-05 0.0204131 0.05 0.0474638 0.0131284 0.125451 -0.105128 0.744613 -1.25303
0.6 0 -8.08081e-05 0.0217057 0.05 0.0476156 0.0120138 0.133132 -0.117887 0.79157 -1.29873
0.61 0 -8.06668e-05 0.0230774 0.05 0.0477587 0.0107691 0.141297 -0.131125 0.841411 -1.34886
0.62 0 -8.07038e-05 0.0245333 0.05 0.0478937 0.00938951 0.149976 -0.144887 0.894315 -1.40361
0.63 0 -8.08674e-05 0.0260787 0.05 0.0480209 0.00786947 0.159199 -0.159221 0.950457 -1.46317
0.64 0 -8.06464e-05 0.0277192 0.05 0.0481401 0.00620303 0.169001 -0.174174 1.00986 -1.52747
0.65 0 -7.51813e-05 0.0294608 0.05 0.0482434 0.00438381 0.179406 -0.189781 1.07108 -1.59398
0.66 0 -1.85019e-05 0.0313092 0.05 0.0482548 0.00240559 0.190354 -0.205934 1.11853 -1.63662
0.67 0 0.000523987 0.0332667 0.05 0.0474502 0.000268248 0.200962 -0.221151 1.00302 -1.40664
0.68 0 0.00566051 0.0352983 0.05 0.0389831 -0.00196598 0.202538 -0.220934 -0.687697 1.44987
0.69 0.06 0.0542257 0.0372874 -0.05 -0.0418708 -0.00409899 0.195089 -0.205283 -0.802048 1.6804
0.7 0.06 0.0593621 0.039199 -0.05 -0.0503485 -0.00606849 0.187318 -0.188687 -0.752293 1.63884
0.71 0.06 0.0599043 0.0410356 -0.05 -0.0511742 -0.0078745 0.180118 -0.172623 -0.687606 1.57397
0.72 0.06 0.0599606 0.0428035 -0.05 -0.0511947 -0.00952306 0.173562 -0.157194 -0.623553 1.51186
0.73 0.06 0.0599655 0.044509 -0.05 -0.051134 -0.0110204 0.167637 -0.142359 -0.56157 1.45508
0.74 0.06 0.059965 0.0461583 -0.05 -0.0510684 -0.012372 0.162321 -0.128065 -0.501609 1.40369
0.75 0.06 0.059964 0.0477574 -0.05 -0.0510058 -0.0135833 0.157596 -0.114259 -0.443472 1.35755
0.76 0.06 0.059963 0.0493121 -0.05 -0.0509469 -0.0146587 0.153443 -0.100889 -0.386948 1.31646
0.77 0.06 0.059962 0.0508281 -0.05 -0.0508916 -0.0156023 0.14985 -0.087905 -0.331831 1.28028
0.78 0.06 0.0599611 0.0523109 -0.05 -0.0508395 -0.0164179 0.146801 -0.0752592 -0.277922 1.24887
0.79 0.06 0.0599601 0.0537659 -0.05 -0.0507906 -0.0171085 0.144286 -0.0629042 -0.225023 1.22213
0.8 0.06 0.0599592 0.0551984 -0.05 -0.050745 -0.0176768 0.142296 -0.050794 -0.172943 1.19992
0.81 0.06 0.0599583 0.0566136 -0.05 -0.0507022 -0.018125 0.140824 -0.0388835 -0.121492 1.18218
0.82 0.06 0.0599574 0.0580166 -0.05 -0.0506621 -0.018455 0.139864 -0.0271285 -0.0704823 1.16882
0.83 0.06 0.0599564 0.0594125 -0.05 -0.0506244 -0.018668 0.139413 -0.0154854 -0.0197286 1.1598
0.84 0.06 0.0599555 0.0608065 -0.05 -0.050589 -0.0187649 0.139469 -0.00391106 0.0309538 1.15507
0.85 0.06 0.0599546 0.0622036 -0.05 -0.0505558 -0.0187463 0.140033 0.00763737 0.0817495 1.15462
0.86 0.06 0.0599536 0.0636089 -0.05 -0.0505247 -0.0186121 0.141106 0.0192026 0.132843 1.15843
0.87 0.06 0.0599526 0.0650274 -0.05 -0.0504956 -0.018362 0.142692 0.0308274 0.184421 1.16653
0.88 0.06 0.0599516 0.0664644 -0.05 -0.0504683 -0.0179952 0.144798 0.0425547 0.236671 1.17893
0.89 0.06 0.0599506 0.0679251 -0.05 -0.0504428 -0.0175105 0.14743 0.0544277 0.289783 1.19568
0.9 0.06 0.0599495 0.0694148 -0.05 -0.050419 -0.016906 0.150598 0.0664903 0.34395 1.21683
0.91 0.06 0.0599483 0.0709389 -0.05 -0.0503967 -0.0161799 0.154315 0.0787867 0.39937 1.24246
0.92 0.06 0.0599471 0.072503 -0.05 -0.050376 -0.0153294 0.158593 0.0913623 0.456244 1.27266
0.93 0.06 0.0599458 0.0741127 -0.05 -0.0503566 -0.0143515 0.163448 0.104263 0.51478 1.30753
0.94 0.06 0.0599445 0.075774 -0.05 -0.0503387 -0.0132429 0.168898 0.117537 0.575189 1.34721
0.95 0.06 0.0599431 0.0774927 -0.05 -0.050322 -0.0119994 0.174963 0.131232 0.637693 1.39183
0.96 0.06 0.0599415 0.0792753 -0.05 -0.0503065 -0.0106167 0.181664 0.145399 0.702517 1.44154
0.97 0.06 0.05994 0.0811282 -0.05 -0.0502922 -0.00908968 0.189026 0.160089 0.769877 1.49651
0.98 0.06 0.0599389 0.0830581 -0.05 -0.050278 -0.00741296 0.197074 0.175355 0.839843 1.55662
0.99 0.06 0.0599432 0.085072 -0.05 -0.0502558 -0.00558053 0.205828 0.191235 0.910997 1.61932
1 0.06 0.0599987 0.0871768 -0.05 -0.050149 -0.00358657 0.215222 0.207624 0.9678 1.65849
1.01 0.06 0.0605401 0.0893757 -0.05 -0.0492332 -0.00143129 0.224367 0.223043 0.8611 1.42535
