tar_x(m) tar_y(m) vel_x(m/s) vel_y(m/s) cog_x(m) cog_y(m) L(0)R(1) STATE(0-2) ZMP_x(m) ZMP_y(m) ax0 ax1 ax2 ax3 ax4 ax5 ay0 ay1 ay2 ay3 ay4 ay5
0.09 0 0 0 0 0 0 0 0 -0.05 9.96212e-07 0.000326568 0.0363984 -0.0574659 0.132717 0.0109842 -5.00468e-06 -0.00149185 -0.172569 0.28397 -0.672333 0.013661
0.10 0 0 0 0 0 0 0 0 -0.05 1.01581e-06 0.000332988 0.037114 -0.058557 0.135278 0.0112857 -5.00468e-06 -0.00149185 -0.172569 0.28397 -0.672333 0.013661
0.11 0 0 0 0 0 0 0 0 -0.05 1.0354e-06 0.000339409 0.0378296 -0.0596482 0.137839 0.0115873 -5.00468e-06 -0.00149185 -0.172569 0.28397 -0.672333 0.013661
0.12 0 0 0 0 0 0 0 0 -0.05 1.05499e-06 0.000345829 0.0385453 -0.0607393 0.1404 0.0118889 -5.00468e-06 -0.00149185 -0.172569 0.28397 -0.672333 0.013661
0.13 0 0 0 0 0 0 0 0 -0.05 1.05699e-06 0.000346481 0.0386179 -0.0608074 0.140607 0.0120155 -5.01958e-06 -0.00149673 -0.173113 0.284836 -0.674326 0.013513
0.14 0 0 0 0 0 0 0 0 -0.05 1.05898e-06 0.000347133 0.0386905 -0.0608755 0.140814 0.012142 -5.01958e-06 -0.00149673 -0.173113 0.284836 -0.674326 0.013513
0.15 0 0 0 0 0 0 0 0 -0.05 1.06098e-06 0.000347785 0.0387632 -0.0609435 0.141021 0.0122685 -5.01958e-06 -0.00149673 -0.173113 0.284836 -0.674326 0.013513
0.16 0 0 0 0 0 0 0 0 -0.05 1.06297e-06 0.000348437 0.0388358 -0.0610116 0.141227 0.012395 -5.01958e-06 -0.00149673 -0.173113 0.284836 -0.674326 0.013513
0.17 0 0 0 0 0 0 0 0 -0.05 1.06497e-06 0.000349089 0.0389084 -0.0610797 0.141434 0.0125215 -5.01958e-06 -0.00149673 -0.173113 0.284836 -0.674326 0.013513
0.18 0 0 0 0 0 0 0 0 -0.05 1.06696e-06 0.000349741 0.038981 -0.0611477 0.141641 0.0126481 -5.01958e-06 -0.00149673 -0.173113 0.284836 -0.674326 0.013513
0.19 0 0 0 0 0 0 0 0 -0.05 1.06671e-06 0.000349741 0.0389823 -0.0611766 0.141815 0.012473 -5.01732e-06 -0.00149593 -0.173076 0.285347 -0.676462 0.0162647
0.20 0 0 0 0 0 0 0 0 -0.05 1.06647e-06 0.000349742 0.0389836 -0.0612055 0.141989 0.0122979 -5.01732e-06 -0.00149593 -0.173076 0.285347 -0.676462 0.0162647
0 0 -0.18 0 0 0 0 0 0 -0.05 -0.0017699 -0.171141 1.0422 -2.91533 4.46045 -3.03148 -5.12035e-06 -0.00152977 -0.176796 0.290693 -0.687805 0.0124956
0 0 -0.16 0 0 0 0 0 0 -0.05 -0.00157325 -0.152125 0.926401 -2.5914 3.96485 -2.69465 -5.12035e-06 -0.00152977 -0.176796 0.290693 -0.687805 0.0124956
0 0 -0.14 0 0 0 0 0 0 -0.05 -0.00137659 -0.13311 0.810601 -2.26748 3.46924 -2.35782 -5.12035e-06 -0.00152977 -0.176796 0.290693 -0.687805 0.0124956
0 0 -0.12 0 0 0 0 0 0 -0.05 -0.00117993 -0.114094 0.694801 -1.94355 2.97364 -2.02099 -5.12035e-06 -0.00152977 -0.176796 0.290693 -0.687805 0.0124956
0 0 -0.10 0 0 0 0 0 0 -0.05 -0.000983279 -0.0950783 0.579001 -1.61963 2.47803 -1.68416 -5.12035e-06 -0.00152977 -0.176796 0.290693 -0.687805 0.0124956
0 0 -0.08 0 0 0 0 0 0 -0.05 -0.000786623 -0.0760626 0.463201 -1.2957 1.98242 -1.34733 -5.12035e-06 -0.00152977 -0.176796 0.290693 -0.687805 0.0124956
0 0 -0.06 0 0 0 0 0 0 -0.05 -0.000589967 -0.057047 0.3474 -0.971776 1.48682 -1.01049 -5.12035e-06 -0.00152977 -0.176796 0.290693 -0.687805 0.0124956
0 0 -0.04 0 0 0 0 0 0 -0.05 -0.000393312 -0.0380313 0.2316 -0.647851 0.991212 -0.673663 -5.12035e-06 -0.00152977 -0.176796 0.290693 -0.687805 0.0124956
0 0 -0.02 0 0 0 0 0 0 -0.05 -0.000196656 -0.0190157 0.1158 -0.323925 0.495606 -0.336832 -5.12035e-06 -0.00152977 -0.176796 0.290693 -0.687805 0.0124956
0 0 -0.00 0 0 0 0 0 0 -0.05 1.02992e-316 3.39423e-314 3.79621e-312 -1.40759e-311 2.39102e-311 -1.7076e-311 -5.12035e-06 -0.00152977 -0.176796 0.290693 -0.687805 0.0124956
0 0 0.02 0 0 0 0 0 0 -0.05 0.000196656 0.0190157 -0.1158 0.323925 -0.495606 0.336832 -5.12035e-06 -0.00152977 -0.176796 0.290693 -0.687805 0.0124956
0 0 0.04 0 0 0 0 0 0 -0.05 0.000393312 0.0380313 -0.2316 0.647851 -0.991212 0.673663 -5.12035e-06 -0.00152977 -0.176796 0.290693 -0.687805 0.0124956
0 0 0.06 0 0 0 0 0 0 -0.05 0.000589967 0.057047 -0.3474 0.971776 -1.48682 1.01049 -5.12035e-06 -0.00152977 -0.176796 0.290693 -0.687805 0.0124956
0 0 0.08 0 0 0 0 0 0 -0.05 0.000786623 0.0760626 -0.463201 1.2957 -1.98242 1.34733 -5.12035e-06 -0.00152977 -0.176796 0.290693 -0.687805 0.0124956
0 0 0.10 0 0 0 0 0 0 -0.05 0.000983279 0.0950783 -0.579001 1.61963 -2.47803 1.68416 -5.12035e-06 -0.00152977 -0.176796 0.290693 -0.687805 0.0124956
0 0 0.12 0 0 0 0 0 0 -0.05 0.00117993 0.114094 -0.694801 1.94355 -2.97364 2.02099 -5.12035e-06 -0.00152977 -0.176796 0.290693 -0.687805 0.0124956
0 0 0.14 0 0 0 0 0 0 -0.05 0.00137659 0.13311 -0.810601 2.26748 -3.46924 2.35782 -5.12035e-06 -0.00152977 -0.176796 0.290693 -0.687805 0.0124956
0 0 0.16 0 0 0 0 0 0 -0.05 0.00157325 0.152125 -0.926401 2.5914 -3.96485 2.69465 -5.12035e-06 -0.00152977 -0.176796 0.290693 -0.687805 0.0124956
0 0 0.18 0 0 0 0 0 0 -0.05 0.0017699 0.171141 -1.0422 2.91533 -4.46045 3.03148 -5.12035e-06 -0.00152977 -0.176796 0.290693 -0.687805 0.0124956
0 0 0 0 -0.030 0 0 0 0 -0.05 -0.0300225 -0.00180367 0.538081 -1.95373 3.28337 -2.32413 -5.12035e-06 -0.00152977 -0.176796 0.290693 -0.687805 0.0124956
0 0 0 0 -0.027 0 0 0 0 -0.05 -0.0270203 -0.0016233 0.484273 -1.75835 2.95504 -2.09172 -5.12035e-06 -0.00152977 -0.176796 0.290693 -0.687805 0.0124956
0 0 0 0 -0.024 0 0 0 0 -0.05 -0.024018 -0.00144294 0.430465 -1.56298 2.6267 -1.8593 -5.12035e-06 -0.00152977 -0.176796 0.290693 -0.687805 0.0124956
0 0 0 0 -0.021 0 0 0 0 -0.05 -0.0210158 -0.00126257 0.376657 -1.36761 2.29836 -1.62689 -5.12035e-06 -0.00152977 -0.176796 0.290693 -0.687805 0.0124956
0 0 0 0 -0.018 0 0 0 0 -0.05 -0.0180135 -0.0010822 0.322849 -1.17224 1.97002 -1.39448 -5.12035e-06 -0.00152977 -0.176796 0.290693 -0.687805 0.0124956
0 0 0 0 -0.015 0 0 0 0 -0.05 -0.0150113 -0.000901835 0.269041 -0.976864 1.64169 -1.16206 -5.12035e-06 -0.00152977 -0.176796 0.290693 -0.687805 0.0124956
0 0 0 0 -0.012 0 0 0 0 -0.05 -0.012009 -0.000721468 0.215233 -0.781491 1.31335 -0.929652 -5.12035e-06 -0.00152977 -0.176796 0.290693 -0.687805 0.0124956
0 0 0 0 -0.009 0 0 0 0 -0.05 -0.00900676 -0.000541101 0.161424 -0.586118 0.985012 -0.697239 -5.12035e-06 -0.00152977 -0.176796 0.290693 -0.687805 0.0124956
0 0 0 0 -0.006 0 0 0 0 -0.05 -0.00600451 -0.000360734 0.107616 -0.390745 0.656675 -0.464826 -5.12035e-06 -0.00152977 -0.176796 0.290693 -0.687805 0.0124956
0 0 0 0 -0.003 0 0 0 0 -0.05 -0.00300225 -0.000180367 0.0538081 -0.195373 0.328337 -0.232413 -5.12035e-06 -0.00152977 -0.176796 0.290693 -0.687805 0.0124956
0 0 0 0 0.000 0 0 0 0 -0.05 1.02985e-316 3.3944e-314 3.79628e-312 -1.40761e-311 2.39104e-311 -1.7076e-311 -5.12035e-06 -0.00152977 -0.176796 0.290693 -0.687805 0.0124956
0 0 0 0 0.003 0 0 0 0 -0.05 0.00300225 0.000180367 -0.0538081 0.195373 -0.328337 0.232413 -5.12035e-06 -0.00152977 -0.176796 0.290693 -0.687805 0.0124956
0 0 0 0 0.006 0 0 0 0 -0.05 0.00600451 0.000360734 -0.107616 0.390745 -0.656675 0.464826 -5.12035e-06 -0.00152977 -0.176796 0.290693 -0.687805 0.0124956
0 0 0 0 0.009 0 0 0 0 -0.05 0.00900676 0.000541101 -0.161424 0.586118 -0.985012 0.697239 -5.12035e-06 -0.00152977 -0.176796 0.290693 -0.687805 0.0124956
0 0 0 0 0.012 0 0 0 0 -0.05 0.012009 0.000721468 -0.215233 0.781491 -1.31335 0.929652 -5.12035e-06 -0.00152977 -0.176796 0.290693 -0.687805 0.0124956
0 0 0 0 0.015 0 0 0 0 -0.05 0.0150113 0.000901835 -0.269041 0.976864 -1.64169 1.16206 -5.12035e-06 -0.00152977 -0.176796 0.290693 -0.687805 0.0124956
0 0 0 0 0.018 0 0 0 0 -0.05 0.0180135 0.0010822 -0.322849 1.17224 -1.97002 1.39448 -5.12035e-06 -0.00152977 -0.176796 0.290693 -0.687805 0.0124956
0 0 0 0 0.021 0 0 0 0 -0.05 0.0210158 0.00126257 -0.376657 1.36761 -2.29836 1.62689 -5.12035e-06 -0.00152977 -0.176796 0.290693 -0.687805 0.0124956
0 0 0 0 0.024 0 0 0 0 -0.05 0.024018 0.00144294 -0.430465 1.56298 -2.6267 1.8593 -5.12035e-06 -0.00152977 -0.176796 0.290693 -0.687805 0.0124956
0 0 0 0 0.027 0 0 0 0 -0.05 0.0270203 0.0016233 -0.484273 1.75835 -2.95504 2.09172 -5.12035e-06 -0.00152977 -0.176796 0.290693 -0.687805 0.0124956
0 0 0 0 0.030 0 0 0 0 -0.05 0.0300225 0.00180367 -0.538081 1.95373 -3.28337 2.32413 -5.12035e-06 -0.00152977 -0.176796 0.290693 -0.687805 0.0124956
