0.3,0,45,-0.4,-0.12,0.045,0,0,1,0.0514396,0.0587705,0.15708,0.0411086,-0.375173,1.78671,-3.9983,6.04386,-3.23348,-0.00112945,-0.107172,0.248221,0.575792,-0.760271,1.84161
0.3,0,45,-0.4,-0.12,0.048,0,0,1,0.0514396,0.0587705,0.15708,0.0441108,-0.374992,1.7329,-3.80292,5.71552,-3.00107,-0.00112945,-0.107172,0.248221,0.575792,-0.760271,1.84161
0.3,0,45,-0.4,-0.12,0.051,0,0,1,0.0514396,0.0587705,0.15708,0.0471131,-0.374812,1.6791,-3.60755,5.38718,-2.76866,-0.00112945,-0.107172,0.248221,0.575792,-0.760271,1.84161
0.3,0,45,-0.4,-0.12,0.054,0,0,1,0.0514396,0.0587705,0.15708,0.0501153,-0.374632,1.62529,-3.41218,5.05884,-2.53624,-0.00112945,-0.107172,0.248221,0.575792,-0.760271,1.84161
0.3,0,45,-0.4,-0.12,0.057,0,0,1,0.0514396,0.0587705,0.15708,0.0531176,-0.374451,1.57148,-3.21681,4.73051,-2.30383,-0.00112945,-0.107172,0.248221,0.575792,-0.760271,1.84161
0.3,0,45,-0.4,-0.12,0.06,0,0,1,0.0514396,0.0587705,0.15708,0.0561198,-0.374271,1.51767,-3.02143,4.40217,-2.07142,-0.00112945,-0.107172,0.248221,0.575792,-0.760271,1.84161
,,,,,,,,,,,,,,,,,,,,,,,
0.3,0,45,-0.38,-0.12,0.042,0,0,1,0.0514396,0.0587705,0.15708,0.038303,-0.356338,1.72472,-3.86974,5.87659,-3.12906,-0.00112945,-0.107172,0.248221,0.575792,-0.760271,1.84161
0.3,0,45,-0.38,-0.12,0.045,0,0,1,0.0514396,0.0587705,0.15708,0.0413052,-0.356157,1.67091,-3.67437,5.54825,-2.89665,-0.00112945,-0.107172,0.248221,0.575792,-0.760271,1.84161
0.3,0,45,-0.38,-0.12,0.048,0,0,1,0.0514396,0.0587705,0.15708,0.0443075,-0.355977,1.6171,-3.479,5.21991,-2.66424,-0.00112945,-0.107172,0.248221,0.575792,-0.760271,1.84161
