-0.30 0.00 0.00 0.00 0.000 0.000 0 0 -9.38543e-05 -0.0389386 0.0537969 -0.109814 -0.0493403 -0.00099673 -0.172952 0.25504 -0.541697 -0.171379 
-0.29 0.00 0.00 0.00 0.000 0.000 0 0 -9.38543e-05 -0.0389386 0.0537969 -0.109814 -0.0493403 -0.00099673 -0.172952 0.25504 -0.541697 -0.171379 
-0.28 0.00 0.00 0.00 0.000 0.000 0 0 -9.38543e-05 -0.0389386 0.0537969 -0.109814 -0.0493403 -0.00099673 -0.172952 0.25504 -0.541697 -0.171379 
-0.27 0.00 0.00 0.00 0.000 0.000 0 0 -9.38543e-05 -0.0389386 0.0537969 -0.109814 -0.0493403 -0.00099673 -0.172952 0.25504 -0.541697 -0.171379 
-0.26 0.00 0.00 0.00 0.000 0.000 0 0 -9.38543e-05 -0.0389386 0.0537969 -0.109814 -0.0493403 -0.00099673 -0.172952 0.25504 -0.541697 -0.171379 
-0.25 0.00 0.00 0.00 0.000 0.000 0 0 -9.38543e-05 -0.0389386 0.0537969 -0.109814 -0.0493403 -0.00099673 -0.172952 0.25504 -0.541697 -0.171379 
-0.24 0.00 0.00 0.00 0.000 0.000 0 0 -9.38543e-05 -0.0389386 0.0537969 -0.109814 -0.0493403 -0.00099673 -0.172952 0.25504 -0.541697 -0.171379 
-0.23 0.00 0.00 0.00 0.000 0.000 0 0 -9.38543e-05 -0.0389386 0.0537969 -0.109814 -0.0493403 -0.00099673 -0.172952 0.25504 -0.541697 -0.171379 
-0.22 0.00 0.00 0.00 0.000 0.000 0 0 -9.38543e-05 -0.0389386 0.0537969 -0.109814 -0.0493403 -0.00099673 -0.172952 0.25504 -0.541697 -0.171379 
-0.21 0.00 0.00 0.00 0.000 0.000 0 0 -9.38543e-05 -0.0389386 0.0537969 -0.109814 -0.0493403 -0.00099673 -0.172952 0.25504 -0.541697 -0.171379 
-0.20 0.00 0.00 0.00 0.000 0.000 0 0 -9.38543e-05 -0.0389386 0.0537969 -0.109814 -0.0493403 -0.00099673 -0.172952 0.25504 -0.541697 -0.171379 
