tar_x(m) tar_y(m) tar_th(deg) vel_x(m/s) vel_y(m/s) cog_x(m) cog_y(m) L(0)R(1) STATE(0-2) ZMP_x(m) ZMP_y(m) ZMP_th(deg) ax0 ax1 ax2 ax3 ax4 ax5 ay0 ay1 ay2 ay3 ay4 ay5
0.30 0 -62 0 0 0 0 0 0 0 -0.05 0 1.13266e-06 0.000371252 0.041378 -0.0648903 0.150281 0.0135095 -5.20858e-06 -0.00155966 -0.180143 0.29629 -0.702032 0.0135777
0.30 0 -61 0 0 0 0 0 0 0 -0.05 0 1.13266e-06 0.000371252 0.041378 -0.0648903 0.150281 0.0135095 -5.20858e-06 -0.00155966 -0.180143 0.29629 -0.702032 0.0135777
0.30 0 -60 0 0 0 0 0 0 0 -0.05 0 1.13266e-06 0.000371252 0.041378 -0.0648903 0.150281 0.0135095 -5.20858e-06 -0.00155966 -0.180143 0.29629 -0.702032 0.0135777
0.30 0 -59 0 0 0 0 0 0 0 -0.05 0 1.13266e-06 0.000371252 0.041378 -0.0648903 0.150281 0.0135095 -5.20858e-06 -0.00155966 -0.180143 0.29629 -0.702032 0.0135777
0.30 0 -58 0 0 0 0 0 0 0 -0.05 0 1.13266e-06 0.000371252 0.041378 -0.0648903 0.150281 0.0135095 -5.20858e-06 -0.00155966 -0.180143 0.29629 -0.702032 0.0135777
0.30 0 -57 0 0 0 0 0 0 0 -0.05 0 1.13266e-06 0.000371252 0.041378 -0.0648903 0.150281 0.0135095 -5.20858e-06 -0.00155966 -0.180143 0.29629 -0.702032 0.0135777
0.30 0 -56 0 0 0 0 0 0 0 -0.05 0 1.13266e-06 0.000371252 0.041378 -0.0648903 0.150281 0.0135095 -5.20858e-06 -0.00155966 -0.180143 0.29629 -0.702032 0.0135777
0.30 0 -55 0 0 0 0 0 0 0 -0.05 0 1.13266e-06 0.000371252 0.041378 -0.0648903 0.150281 0.0135095 -5.20858e-06 -0.00155966 -0.180143 0.29629 -0.702032 0.0135777
0.30 0 -54 0 0 0 0 0 0 0 -0.05 0 1.13266e-06 0.000371252 0.041378 -0.0648903 0.150281 0.0135095 -5.20858e-06 -0.00155966 -0.180143 0.29629 -0.702032 0.0135777
0.30 0 -53 0 0 0 0 0 0 0 -0.05 0 1.13266e-06 0.000371252 0.041378 -0.0648903 0.150281 0.0135095 -5.20858e-06 -0.00155966 -0.180143 0.29629 -0.702032 0.0135777
0.30 0 -52 0 0 0 0 0 0 0 -0.05 0 1.13266e-06 0.000371252 0.041378 -0.0648903 0.150281 0.0135095 -5.20858e-06 -0.00155966 -0.180143 0.29629 -0.702032 0.0135777
0.30 0 -51 0 0 0 0 0 0 0 -0.05 0 1.13266e-06 0.000371252 0.041378 -0.0648903 0.150281 0.0135095 -5.20858e-06 -0.00155966 -0.180143 0.29629 -0.702032 0.0135777
0.30 0 -50 0 0 0 0 0 0 0 -0.05 0 1.13266e-06 0.000371252 0.041378 -0.0648903 0.150281 0.0135095 -5.20858e-06 -0.00155966 -0.180143 0.29629 -0.702032 0.0135777
0.30 0 -49 0 0 0 0 0 0 0 -0.05 0 1.13266e-06 0.000371252 0.041378 -0.0648903 0.150281 0.0135095 -5.20858e-06 -0.00155966 -0.180143 0.29629 -0.702032 0.0135777
0.30 0 -48 0 0 0 0 0 0 0 -0.05 0 1.13266e-06 0.000371252 0.041378 -0.0648903 0.150281 0.0135095 -5.20858e-06 -0.00155966 -0.180143 0.29629 -0.702032 0.0135777
0.30 0 -47 0 0 0 0 0 0 0 -0.05 0 1.13266e-06 0.000371252 0.041378 -0.0648903 0.150281 0.0135095 -5.20858e-06 -0.00155966 -0.180143 0.29629 -0.702032 0.0135777
0.30 0 -46 0 0 0 0 0 0 0 -0.05 0 1.13266e-06 0.000371252 0.041378 -0.0648903 0.150281 0.0135095 -5.20858e-06 -0.00155966 -0.180143 0.29629 -0.702032 0.0135777
0.30 0 -45 0 0 0 0 0 0 0 -0.05 0 1.13266e-06 0.000371252 0.041378 -0.0648903 0.150281 0.0135095 -5.20858e-06 -0.00155966 -0.180143 0.29629 -0.702032 0.0135777
0.30 0 -44 0 0 0 0 0 0 0 -0.05 0 1.13266e-06 0.000371252 0.041378 -0.0648903 0.150281 0.0135095 -5.20858e-06 -0.00155966 -0.180143 0.29629 -0.702032 0.0135777
0.30 0 -43 0 0 0 0 0 0 0 -0.05 0 1.13266e-06 0.000371252 0.041378 -0.0648903 0.150281 0.0135095 -5.20858e-06 -0.00155966 -0.180143 0.29629 -0.702032 0.0135777
0.30 0 -42 0 0 0 0 0 0 0 -0.05 0 1.13266e-06 0.000371252 0.041378 -0.0648903 0.150281 0.0135095 -5.20858e-06 -0.00155966 -0.180143 0.29629 -0.702032 0.0135777
0.30 0 -41 0 0 0 0 0 0 0 -0.05 0 1.13266e-06 0.000371252 0.041378 -0.0648903 0.150281 0.0135095 -5.20858e-06 -0.00155966 -0.180143 0.29629 -0.702032 0.0135777
0.30 0 -40 0 0 0 0 0 0 0 -0.05 0 1.13266e-06 0.000371252 0.041378 -0.0648903 0.150281 0.0135095 -5.20858e-06 -0.00155966 -0.180143 0.29629 -0.702032 0.0135777
0.30 0 -39 0 0 0 0 0 0 0 -0.05 0 1.13266e-06 0.000371252 0.041378 -0.0648903 0.150281 0.0135095 -5.20858e-06 -0.00155966 -0.180143 0.29629 -0.702032 0.0135777
0.30 0 -38 0 0 0 0 0 0 0 -0.05 0 1.13266e-06 0.000371252 0.041378 -0.0648903 0.150281 0.0135095 -5.20858e-06 -0.00155966 -0.180143 0.29629 -0.702032 0.0135777
0.30 0 -37 0 0 0 0 0 0 0 -0.05 0 1.13266e-06 0.000371252 0.041378 -0.0648903 0.150281 0.0135095 -5.20858e-06 -0.00155966 -0.180143 0.29629 -0.702032 0.0135777
0.30 0 -36 0 0 0 0 0 0 0 -0.05 0 1.13159e-06 0.000371417 0.0413734 -0.0648448 0.150095 0.0137742 -5.21007e-06 -0.00155944 -0.180149 0.296353 -0.702287 0.013942
0.30 0 -35 0 0 0 0 0 0 0 -0.05 0 1.13158e-06 0.000371413 0.0413737 -0.0648497 0.150123 0.0137448 -5.21009e-06 -0.00155943 -0.180149 0.296353 -0.702284 0.0139405
0.30 0 -34 0 0 0 0 0 0 0 -0.05 0 1.13157e-06 0.000371409 0.041374 -0.0648546 0.15015 0.0137153 -5.21012e-06 -0.00155943 -0.180149 0.296352 -0.702281 0.0139385
0.30 0 -33 0 0 0 0 0 0 0 -0.05 0 1.13157e-06 0.000371405 0.0413743 -0.0648595 0.150177 0.0136859 -5.21015e-06 -0.00155943 -0.180149 0.296352 -0.702277 0.013936
0.30 0 -32 0 0 0 0 0 0 0 -0.05 0 1.13156e-06 0.000371401 0.0413745 -0.0648644 0.150205 0.0136565 -5.21018e-06 -0.00155942 -0.180149 0.296352 -0.702273 0.013933
0.30 0 -31 0 0 0 0 0 0 0 -0.05 0 1.13156e-06 0.000371396 0.0413748 -0.0648693 0.150232 0.0136272 -5.2102e-06 -0.00155942 -0.180149 0.296351 -0.702268 0.0139294
0.30 0 -30 0 0 0 0 0 0 0 -0.05 0 1.13155e-06 0.000371392 0.0413751 -0.0648742 0.150259 0.013598 -5.21023e-06 -0.00155942 -0.180149 0.29635 -0.702263 0.0139254
0.30 0 -29 0 0 0 0 0 0 0 -0.05 0 1.13155e-06 0.000371388 0.0413754 -0.064879 0.150286 0.0135688 -5.21026e-06 -0.00155942 -0.180149 0.29635 -0.702257 0.0139208
0.30 0 -28 0 0 0 0 0 0 0 -0.05 0 1.13155e-06 0.000371384 0.0413757 -0.0648839 0.150313 0.0135397 -5.21029e-06 -0.00155941 -0.180149 0.296349 -0.702251 0.0139157
0.30 0 -27 0 0 0 0 0 0 0 -0.05 0 1.13184e-06 0.000371014 0.041352 -0.0649663 0.15038 0.0131975 -5.213e-06 -0.00156013 -0.180179 0.295814 -0.699868 0.0109814
0.30 0 -26 0 0 0 0 0 0 0 -0.05 0 1.1318e-06 0.000371001 0.0413506 -0.0649619 0.150372 0.0132021 -5.21275e-06 -0.00156005 -0.18017 0.295804 -0.69984 0.0109939
0.30 0 -25 0 0 0 0 0 0 0 -0.05 0 1.13176e-06 0.000370988 0.0413491 -0.0649573 0.150364 0.0132065 -5.2125e-06 -0.00155996 -0.180161 0.295794 -0.699812 0.0110065
0.30 0 -24 0 0 0 0 0 0 0 -0.05 0 1.13171e-06 0.000370973 0.0413474 -0.0649526 0.150355 0.0132107 -5.21225e-06 -0.00155988 -0.180152 0.295784 -0.699784 0.0110192
0.30 0 -23 0 0 0 0 0 0 0 -0.05 0 1.13166e-06 0.000370956 0.0413455 -0.0649476 0.150346 0.0132147 -5.212e-06 -0.0015598 -0.180143 0.295774 -0.699757 0.0110319
0.30 0 -22 0 0 0 0 0 0 0 -0.05 0 1.13161e-06 0.000370938 0.0413435 -0.0649425 0.150336 0.0132184 -5.21175e-06 -0.00155972 -0.180134 0.295764 -0.699729 0.0110447
0.30 0 -21 0 0 0 0 0 0 0 -0.05 0 1.13155e-06 0.000370919 0.0413414 -0.0649373 0.150326 0.0132219 -5.2115e-06 -0.00155964 -0.180125 0.295754 -0.699702 0.0110575
0.30 0 -20 0 0 0 0 0 0 0 -0.05 0 1.13149e-06 0.000370898 0.041339 -0.0649318 0.150315 0.0132252 -5.21125e-06 -0.00155956 -0.180116 0.295744 -0.699675 0.0110704
0.30 0 -19 0 0 0 0 0 0 0 -0.05 0 1.13142e-06 0.000370876 0.0413366 -0.0649262 0.150304 0.0132283 -5.21101e-06 -0.00155948 -0.180107 0.295735 -0.699648 0.0110834
0.30 0 -18 0 0 0 0 0 0 0 -0.05 0 1.12457e-06 0.000368641 0.0410877 -0.0647997 0.149728 0.0125549 -5.1929e-06 -0.00155354 -0.179445 0.294776 -0.697342 0.0114718
0.30 0 -17 0 0 0 0 0 0 0 -0.05 0 1.12626e-06 0.000369196 0.0411496 -0.0648967 0.149953 0.0125752 -5.19128e-06 -0.00155301 -0.179386 0.294686 -0.697132 0.0114985
