tar_x(m) tar_y(m) tar_th(deg) vel_x(m/s) vel_y(m/s) cog_x(m) cog_y(m) L(0)R(1) STATE(0-2) ZMP_x(m) ZMP_y(m) ax0 ax1 ax2 ax3 ax4 ax5 ay0 ay1 ay2 ay3 ay4 ay5
0.18 0 0 -0.40 0 0.036 0 0 0 0 0.05 0.032095 -0.377799 1.70929 -4.19518 6.11371 -3.93503 5.01671e-06 0.00149621 0.173061 -0.285126 0.675277 -0.014939
0.18 0 0 -0.40 0 0.042 0 0 0 0 0.05 0.0380995 -0.377438 1.60167 -3.80444 5.45704 -3.4702 5.01671e-06 0.00149621 0.173061 -0.285126 0.675277 -0.014939
0.18 0 0 -0.40 0 0.048 0 0 0 0 0.05 0.044104 -0.377078 1.49405 -3.41369 4.80036 -3.00538 5.01671e-06 0.00149621 0.173061 -0.285126 0.675277 -0.014939
0.18 0 0 -0.40 0 0.054 0 0 0 0 0.05 0.0501085 -0.376717 1.38644 -3.02295 4.14369 -2.54055 5.01671e-06 0.00149621 0.173061 -0.285126 0.675277 -0.014939
0.18 0 0 -0.40 0 0.060 0 0 0 0 0.05 0.056113 -0.376356 1.27882 -2.6322 3.48702 -2.07572 5.01671e-06 0.00149621 0.173061 -0.285126 0.675277 -0.014939
0.18 0 0 -0.36 0 0.030 0 0 0 0 0.05 0.0264838 -0.340128 1.5853 -3.93808 5.77918 -3.72619 5.01671e-06 0.00149621 0.173061 -0.285126 0.675277 -0.014939
0.18 0 0 -0.36 0 0.036 0 0 0 0 0.05 0.0324883 -0.339768 1.47769 -3.54733 5.1225 -3.26136 5.01671e-06 0.00149621 0.173061 -0.285126 0.675277 -0.014939
0.18 0 0 -0.36 0 0.042 0 0 0 0 0.05 0.0384928 -0.339407 1.37007 -3.15659 4.46583 -2.79654 5.01671e-06 0.00149621 0.173061 -0.285126 0.675277 -0.014939
0.18 0 0 -0.36 0 0.048 0 0 0 0 0.05 0.0444973 -0.339046 1.26245 -2.76584 3.80915 -2.33171 5.01671e-06 0.00149621 0.173061 -0.285126 0.675277 -0.014939
0.18 0 0 -0.36 0 0.054 0 0 0 0 0.05 0.0505018 -0.338686 1.15484 -2.3751 3.15248 -1.86689 5.01671e-06 0.00149621 0.173061 -0.285126 0.675277 -0.014939
0.18 0 0 -0.36 0 0.060 0 0 0 0 0.05 0.0565063 -0.338325 1.04722 -1.98435 2.4958 -1.40206 5.01671e-06 0.00149621 0.173061 -0.285126 0.675277 -0.014939
0.18 0 0 -0.32 0 0.024 0 0 0 0 0.05 0.0208726 -0.302458 1.46132 -3.68097 5.44464 -3.51735 5.01671e-06 0.00149621 0.173061 -0.285126 0.675277 -0.014939
0.18 0 0 -0.32 0 0.030 0 0 0 0 0.05 0.0268771 -0.302097 1.3537 -3.29023 4.78796 -3.05253 5.01671e-06 0.00149621 0.173061 -0.285126 0.675277 -0.014939
0.18 0 0 -0.32 0 0.036 0 0 0 0 0.05 0.0328816 -0.301736 1.24609 -2.89948 4.13129 -2.5877 5.01671e-06 0.00149621 0.173061 -0.285126 0.675277 -0.014939
0.18 0 0 -0.32 0 0.042 0 0 0 0 0.05 0.0388861 -0.301376 1.13847 -2.50874 3.47462 -2.12287 5.01671e-06 0.00149621 0.173061 -0.285126 0.675277 -0.014939
0.18 0 0 -0.32 0 0.048 0 0 0 0 0.05 0.0448906 -0.301015 1.03085 -2.11799 2.81794 -1.65805 5.01671e-06 0.00149621 0.173061 -0.285126 0.675277 -0.014939
0.18 0 0 -0.32 0 0.054 0 0 0 0 0.05 0.0508951 -0.300654 0.923237 -1.72725 2.16127 -1.19322 5.01671e-06 0.00149621 0.173061 -0.285126 0.675277 -0.014939
0.18 0 0 -0.32 0 0.060 0 0 0 0 0.05 0.0568996 -0.300293 0.815621 -1.3365 1.50459 -0.728397 5.01671e-06 0.00149621 0.173061 -0.285126 0.675277 -0.014939
0.18 0 0 -0.28 0 0.018 0 0 0 0 0.05 0.0152614 -0.264787 1.33733 -3.42387 5.1101 -3.30852 5.01671e-06 0.00149621 0.173061 -0.285126 0.675277 -0.014939
0.18 0 0 -0.28 0 0.024 0 0 0 0 0.05 0.0212659 -0.264427 1.22972 -3.03312 4.45343 -2.84369 5.01671e-06 0.00149621 0.173061 -0.285126 0.675277 -0.014939
0.18 0 0 -0.28 0 0.030 0 0 0 0 0.05 0.0272704 -0.264066 1.1221 -2.64238 3.79675 -2.37886 5.01671e-06 0.00149621 0.173061 -0.285126 0.675277 -0.014939
0.18 0 0 -0.28 0 0.036 0 0 0 0 0.05 0.0332749 -0.263705 1.01449 -2.25163 3.14008 -1.91404 5.01671e-06 0.00149621 0.173061 -0.285126 0.675277 -0.014939
0.18 0 0 -0.28 0 0.042 0 0 0 0 0.05 0.0392794 -0.263344 0.906869 -1.86089 2.4834 -1.44921 5.01671e-06 0.00149621 0.173061 -0.285126 0.675277 -0.014939
0.18 0 0 -0.28 0 0.048 0 0 0 0 0.05 0.0452839 -0.262984 0.799253 -1.47014 1.82673 -0.984386 5.01671e-06 0.00149621 0.173061 -0.285126 0.675277 -0.014939
0.18 0 0 -0.28 0 0.054 0 0 0 0 0.05 0.0512884 -0.262623 0.691637 -1.07939 1.17005 -0.51956 5.01671e-06 0.00149621 0.173061 -0.285126 0.675277 -0.014939
0.18 0 0 -0.28 0 0.060 0 0 0 0 0.05 0.057293 -0.262262 0.58402 -0.688649 0.513379 -0.0547342 5.01671e-06 0.00149621 0.173061 -0.285126 0.675277 -0.014939
0.18 0 0 -0.24 0 0.012 0 0 0 0 0.05 0.00965021 -0.227117 1.21335 -3.16676 4.77556 -3.09968 5.01671e-06 0.00149621 0.173061 -0.285126 0.675277 -0.014939
0.18 0 0 -0.24 0 0.018 0 0 0 0 0.05 0.0156547 -0.226756 1.10573 -2.77602 4.11889 -2.63485 5.01671e-06 0.00149621 0.173061 -0.285126 0.675277 -0.014939
0.18 0 0 -0.24 0 0.024 0 0 0 0 0.05 0.0216592 -0.226395 0.998118 -2.38527 3.46222 -2.17003 5.01671e-06 0.00149621 0.173061 -0.285126 0.675277 -0.014939
0.18 0 0 -0.24 0 0.030 0 0 0 0 0.05 0.0276637 -0.226035 0.890501 -1.99453 2.80554 -1.7052 5.01671e-06 0.00149621 0.173061 -0.285126 0.675277 -0.014939
0.18 0 0 -0.24 0 0.036 0 0 0 0 0.05 0.0336682 -0.225674 0.782885 -1.60378 2.14887 -1.24037 5.01671e-06 0.00149621 0.173061 -0.285126 0.675277 -0.014939
0.18 0 0 -0.24 0 0.042 0 0 0 0 0.05 0.0396727 -0.225313 0.675269 -1.21303 1.49219 -0.775549 5.01671e-06 0.00149621 0.173061 -0.285126 0.675277 -0.014939
0.18 0 0 -0.24 0 0.048 0 0 0 0 0.05 0.0456773 -0.224952 0.567653 -0.822289 0.835516 -0.310723 5.01671e-06 0.00149621 0.173061 -0.285126 0.675277 -0.014939
0.18 0 0 -0.24 0 0.054 0 0 0 0 0.05 0.0516818 -0.224592 0.460036 -0.431544 0.178841 0.154103 5.01671e-06 0.00149621 0.173061 -0.285126 0.675277 -0.014939
0.18 0 0 -0.24 0 0.060 0 0 0 0 0.05 0.0576863 -0.224231 0.35242 -0.0407981 -0.477834 0.618929 5.01671e-06 0.00149621 0.173061 -0.285126 0.675277 -0.014939
0.18 0 0 -0.20 0 0.006 0 0 0 0 0.05 0.00403902 -0.189446 1.08937 -2.90966 4.44103 -2.89084 5.01671e-06 0.00149621 0.173061 -0.285126 0.675277 -0.014939
0.18 0 0 -0.20 0 0.012 0 0 0 0 0.05 0.0100435 -0.189085 0.98175 -2.51891 3.78435 -2.42602 5.01671e-06 0.00149621 0.173061 -0.285126 0.675277 -0.014939
0.18 0 0 -0.20 0 0.018 0 0 0 0 0.05 0.016048 -0.188725 0.874134 -2.12817 3.12768 -1.96119 5.01671e-06 0.00149621 0.173061 -0.285126 0.675277 -0.014939
0.18 0 0 -0.20 0 0.024 0 0 0 0 0.05 0.0220525 -0.188364 0.766517 -1.73742 2.471 -1.49636 5.01671e-06 0.00149621 0.173061 -0.285126 0.675277 -0.014939
0.18 0 0 -0.20 0 0.030 0 0 0 0 0.05 0.028057 -0.188003 0.658901 -1.34667 1.81433 -1.03154 5.01671e-06 0.00149621 0.173061 -0.285126 0.675277 -0.014939
0.18 0 0 -0.20 0 0.036 0 0 0 0 0.05 0.0340615 -0.187642 0.551285 -0.955929 1.15765 -0.566712 5.01671e-06 0.00149621 0.173061 -0.285126 0.675277 -0.014939
0.18 0 0 -0.20 0 0.042 0 0 0 0 0.05 0.0400661 -0.187282 0.443669 -0.565184 0.500979 -0.101886 5.01671e-06 0.00149621 0.173061 -0.285126 0.675277 -0.014939
0.18 0 0 -0.20 0 0.048 0 0 0 0 0.05 0.0460706 -0.186921 0.336052 -0.174438 -0.155696 0.36294 5.01671e-06 0.00149621 0.173061 -0.285126 0.675277 -0.014939
0.18 0 0 -0.20 0 0.054 0 0 0 0 0.05 0.0520751 -0.18656 0.228436 0.216307 -0.812371 0.827766 5.01671e-06 0.00149621 0.173061 -0.285126 0.675277 -0.014939
0.18 0 0 -0.20 0 0.060 0 0 0 0 0.05 0.0580796 -0.1862 0.12082 0.607053 -1.46905 1.29259 5.01671e-06 0.00149621 0.173061 -0.285126 0.675277 -0.014939
0.18 0 0 -0.16 0 0.000 0 0 0 0 0.05 -0.00157218 -0.151776 0.965382 -2.65255 4.10649 -2.682 5.01671e-06 0.00149621 0.173061 -0.285126 0.675277 -0.014939
0.18 0 0 -0.16 0 0.006 0 0 0 0 0.05 0.00443233 -0.151415 0.857766 -2.26181 3.44982 -2.21718 5.01671e-06 0.00149621 0.173061 -0.285126 0.675277 -0.014939
0.18 0 0 -0.16 0 0.012 0 0 0 0 0.05 0.0104368 -0.151054 0.75015 -1.87106 2.79314 -1.75235 5.01671e-06 0.00149621 0.173061 -0.285126 0.675277 -0.014939
