tar_x(m),tar_y(m),tar_th(deg),vel_x(m/s),vel_y(m/s),cog_x(m),cog_y(m),L(0)R(1),STATE(0-2),ZMP_x(m),ZMP_y(m),ZMP_th(deg),ax0,ax1,ax2,ax3,ax4,ax5,ay0,ay1,ay2,ay3,ay4,ay5
0.3,0,39,-0.32,-0.12,-0.048,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,39,-0.32,-0.12,-0.042,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,39,-0.32,-0.12,-0.036,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,39,-0.32,-0.12,-0.03,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,39,-0.32,-0.12,-0.024,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,39,-0.32,-0.12,-0.018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,39,-0.32,-0.12,-0.012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,39,-0.32,-0.12,-0.006,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,39,-0.32,-0.12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,39,-0.32,-0.12,0.006,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,39,-0.32,-0.12,0.012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,39,-0.32,-0.12,0.018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,39,-0.32,-0.12,0.024,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,39,-0.32,-0.12,0.03,0,0,1,0.0514396,0.0587705,0.15708,0.0268839,-0.300012,1.59255,-3.67949,5.70328,-3.0484,-0.00112945,-0.107172,0.248221,0.57579,-0.76027,1.8416
0.3,0,39,-0.32,-0.12,0.036,0,0,1,0.0514396,0.0587705,0.15708,0.0328884,-0.299651,1.48494,-3.28874,5.04661,-2.58357,-0.00112945,-0.107172,0.248221,0.57579,-0.76027,1.8416
