time(s) ref_x(m) zmp_x(m) cog_x(m) ref_y(m) zmp_y(m) cog_y(m) vel_x(m) vel_y(m) acc_x(m) acc_y(m)
0.15 0 -0.000970225 0.000796839 0 -0.0042114 0.00350146 0.0098601 0.0432456 0.06221 0.271316
0.16 0 -0.000915364 0.00089858 0 -0.00396596 0.00394762 0.0104913 0.0459979 0.0640302 0.279133
0.17 0 -0.000863719 0.00100673 0 -0.00373494 0.00442171 0.0111424 0.0488358 0.0661933 0.288458
0.18 0 -0.000815103 0.00112151 0 -0.0035175 0.00492467 0.0118169 0.0517746 0.0687007 0.299297
0.19 0 -0.000769339 0.00124316 0 -0.00331286 0.00545759 0.0125182 0.0548294 0.0715556 0.311661
0.2 0 -0.000726261 0.00137197 0 -0.00312025 0.00602169 0.0132498 0.0580156 0.0747625 0.325572
0.21 0 -0.000685711 0.00150827 0 -0.00293899 0.00661839 0.0140152 0.0613487 0.0783277 0.341054
0.22 0 -0.000647543 0.0016524 0 -0.00276842 0.00724921 0.0148181 0.0648447 0.0822593 0.358142
0.23 0 -0.000611618 0.00180477 0 -0.00260792 0.00791588 0.0156623 0.0685198 0.0865667 0.376877
0.24 0 -0.000577805 0.0019658 0 -0.0024569 0.00862026 0.0165514 0.0723907 0.0912612 0.397307
0.25 0 -0.000545981 0.00213596 0 -0.00231481 0.0093644 0.0174895 0.0764747 0.0963556 0.419488
0.26 0 -0.000516031 0.00231576 0 -0.00218114 0.0101505 0.0184806 0.0807895 0.101864 0.443482
0.27 0 -0.000487846 0.00250576 0 -0.0020554 0.010981 0.0195289 0.0853537 0.107804 0.46936
0.28 0 -0.000461323 0.00270655 0 -0.00193714 0.0118585 0.0206389 0.0901865 0.114193 0.497198
0.29 0 -0.000436368 0.00291876 0 -0.00182587 0.0127857 0.0218151 0.0953079 0.12105 0.527069
0.3 0 -0.000412888 0.00314309 0 -0.00172076 0.0137657 0.0230624 0.100738 0.128398 0.558918
0.31 0 -0.000390799 0.00338026 0 -0.00161739 0.0148015 0.0243857 0.10649 0.13626 0.591457
0.32 0 -0.000370021 0.00363107 0 -0.00147708 0.0158963 0.0257903 0.112505 0.144663 0.611624
0.33 0 -0.000350479 0.00389636 0 -0.000937336 0.01705 0.0272818 0.118038 0.153634 0.495018
