time(s) ref_x(m) zmp_x(m) cog_x(m) ref_y(m) zmp_y(m) cog_y(m) vel_x(m) vel_y(m) acc_x(m) acc_y(m)
0.45 0.06 0.059023 0.0502117 -0.05 -0.0609474 -0.0308286 0.163052 -0.0089822 -0.322101 1.07107
0.46 0.06 0.0590768 0.051827 -0.05 -0.0603075 -0.0308652 0.160115 0.00161237 -0.265251 1.04785
0.47 0.06 0.0591275 0.0534159 -0.05 -0.0597051 -0.030797 0.157743 0.0120002 -0.209256 1.02972
0.48 0.06 0.0591752 0.0549838 -0.05 -0.059138 -0.0306257 0.155927 0.0222316 -0.153918 1.01655
0.49 0.06 0.05922 0.0565363 -0.05 -0.0586043 -0.0303527 0.154662 0.0323555 -0.0990421 1.00822
0.5 0.06 0.0592622 0.0580788 -0.05 -0.0581019 -0.0299788 0.153945 0.0424197 -0.0444342 1.00463
0.51 0.06 0.0593018 0.059617 -0.05 -0.0576291 -0.0295044 0.153773 0.0524713 0.0100991 1.0057
0.52 0.06 0.059339 0.0611561 -0.05 -0.0571841 -0.0289293 0.154147 0.0625567 0.0647512 1.01137
0.53 0.06 0.059374 0.0627017 -0.05 -0.0567652 -0.028253 0.15507 0.0727217 0.119716 1.02162
0.54 0.06 0.0594068 0.0642593 -0.05 -0.0563711 -0.0274744 0.156544 0.083012 0.17519 1.03643
0.55 0.06 0.0594376 0.0658345 -0.05 -0.0560001 -0.0265922 0.158577 0.0934732 0.23137 1.05581
0.56 0.06 0.0594665 0.0674328 -0.05 -0.0556511 -0.0256042 0.161176 0.104151 0.288457 1.07977
0.57 0.06 0.0594936 0.0690599 -0.05 -0.0553226 -0.0245083 0.164352 0.115092 0.346655 1.10836
0.58 0.06 0.059519 0.0707218 -0.05 -0.0550136 -0.0233014 0.168116 0.126342 0.406171 1.14165
0.59 0.06 0.0595427 0.0724243 -0.05 -0.0547229 -0.0219802 0.172483 0.137949 0.467221 1.17971
0.6 0.06 0.059565 0.0741735 -0.05 -0.0544494 -0.0205411 0.177469 0.14996 0.530022 1.22266
0.61 0.06 0.0595857 0.0759758 -0.05 -0.0541922 -0.0189795 0.183093 0.162427 0.5948 1.27061
