time(s) ref_x(m) zmp_x(m) cog_x(m) ref_y(m) zmp_y(m) cog_y(m) vel_x(m) vel_y(m) acc_x(m) acc_y(m)
0 0 0 -0.0354167 0.05 0.05 0.00344758 0.186106 0.20148 -0.398057 -1.60238
0.01 0 -0.024461 -0.0335737 0.05 0.0475498 0.00538351 0.182671 0.185829 -0.289018 -1.52782
0.02 0 -0.0256191 -0.0317611 0.05 0.0474336 0.00716641 0.179888 0.170852 -0.267608 -1.46749
0.03 0 -0.0243957 -0.0299754 0.05 0.047556 0.00880247 0.177282 0.156449 -0.253465 -1.41313
0.04 0 -0.0229992 -0.028215 0.05 0.0476959 0.0102971 0.174824 0.142565 -0.238213 -1.3637
0.05 0 -0.0216586 -0.0264783 0.05 0.0478302 0.0116553 0.172527 0.129152 -0.221073 -1.31896
0.06 0 -0.0203938 -0.0247638 0.05 0.047957 0.0128816 0.170412 0.116163 -0.202054 -1.27875
0.07 0 -0.0192027 -0.0230694 0.05 0.0480765 0.0139799 0.168495 0.103555 -0.181235 -1.24293
0.08 0 -0.0180813 -0.0213932 0.05 0.0481891 0.0149538 0.166796 0.0912833 -0.158687 -1.2114
0.09 0 -0.0170256 -0.0197327 0.05 0.0482952 0.0158065 0.16533 0.079306 -0.134468 -1.18405
0.1 0 -0.0160318 -0.0180857 0.05 0.0483951 0.0165408 0.164114 0.0675817 -0.108622 -1.1608
0.11 0 -0.0150961 -0.0164496 0.05 0.0484893 0.0171589 0.163166 0.0560698 -0.081163 -1.14159
0.12 0 -0.0142157 -0.0148215 0.05 0.0485788 0.0176627 0.162499 0.0447301 -0.0521218 -1.12635
0.13 0 -0.0133869 -0.0131986 0.05 0.0486632 0.0180539 0.162131 0.0335232 -0.0215042 -1.11503
0.14 0 -0.0126067 -0.0115778 0.05 0.0487428 0.0183335 0.162077 0.02241 0.0106977 -1.1076
0.15 0 -0.0118723 -0.00995595 0.05 0.0488179 0.0185023 0.162353 0.0113519 0.0445039 -1.10404
0.16 0 -0.0111808 -0.00832961 0.05 0.0488886 0.0185606 0.162975 0.000309957 0.0799458 -1.10434
0.17 0 -0.0105299 -0.00669524 0.05 0.0489554 0.0185084 0.16396 -0.0107544 0.117066 -1.10853
0.18 0 -0.00991724 -0.00504914 0.05 0.0490184 0.0183453 0.165325 -0.0218801 0.155919 -1.11662
0.19 0 -0.00934049 -0.00338741 0.05 0.0490778 0.0180705 0.167088 -0.0331064 0.19657 -1.12864
0.2 0 -0.00879758 -0.001706 0.05 0.049134 0.0176827 0.169266 -0.0444729 0.239094 -1.14465
0.21 0 -0.00828655 -6.40746e-07 0.05 0.049187 0.0171804 0.171879 -0.0560198 0.283578 -1.16472
0.22 0 -0.00780554 0.00173311 0.05 0.049237 0.0165616 0.174948 -0.067788 0.330122 -1.18893
0.23 0 -0.00735281 0.0034999 0.05 0.0492844 0.0158238 0.178493 -0.0798195 0.378833 -1.21736
0.24 0 -0.0069267 0.00530462 0.05 0.0493291 0.0149642 0.182536 -0.0921569 0.429834 -1.25013
0.25 0 -0.00652566 0.00715236 0.05 0.0493715 0.0139795 0.187101 -0.104844 0.483256 -1.28737
0.26 0 -0.00614825 0.00904847 0.05 0.0494115 0.012866 0.192214 -0.117927 0.539243 -1.3292
0.27 0 -0.00579309 0.0109986 0.05 0.0494495 0.0116195 0.1979 -0.131452 0.597953 -1.3758
0.28 0 -0.00545888 0.0130085 0.05 0.0494856 0.0102353 0.204187 -0.145468 0.659553 -1.42732
0.29 0 -0.00514436 0.0150844 0.05 0.0495193 0.0087083 0.211106 -0.160024 0.724206 -1.48393
0.3 0 -0.00484786 0.0172328 0.05 0.0495503 0.00703284 0.218687 -0.175171 0.791931 -1.54554
0.31 0 -0.00456346 0.0194604 0.05 0.0495708 0.00520278 0.226953 -0.190947 0.861267 -1.60961
0.32 0 -0.00424417 0.0217739 0.05 0.049504 0.00321215 0.235842 -0.207245 0.916631 -1.65004
0.33 0 -0.00345444 0.0241764 0.05 0.048626 0.00106106 0.24447 -0.222586 0.808836 -1.41804
0.34 0 0.00191486 0.0266335 0.05 0.0400896 -0.00118806 0.244142 -0.222474 -0.874388 1.4403
0.35 0.06 0.0506992 0.0290294 -0.05 -0.0408294 -0.00333692 0.234863 -0.206911 -0.981455 1.67248
0.36 0.06 0.0560419 0.0313299 -0.05 -0.0493685 -0.00532307 0.225332 -0.190386 -0.924629 1.63242
0.37 0.06 0.0567784 0.0335382 -0.05 -0.050252 -0.00714637 0.216444 -0.17438 -0.853084 1.56889
0.38 0.06 0.0570176 0.0356611 -0.05 -0.0503268 -0.00881274 0.208266 -0.158995 -0.782385 1.508
0.39 0.06 0.0571947 0.0377058 -0.05 -0.0503173 -0.0103282 0.200785 -0.144194 -0.713968 1.4523
0.4 0.06 0.0573563 0.0396791 -0.05 -0.0502999 -0.0116984 0.193976 -0.129923 -0.647782 1.4019
0.41 0.06 0.057508 0.0415875 -0.05 -0.0502827 -0.0129283 0.187819 -0.11613 -0.583626 1.35662
0.42 0.06 0.0576506 0.0434376 -0.05 -0.0502665 -0.0140224 0.182294 -0.102765 -0.521288 1.31632
0.43 0.06 0.0577849 0.0452355 -0.05 -0.0502514 -0.0149848 0.177385 -0.0897795 -0.460557 1.28084
0.44 0.06 0.0579113 0.0469873 -0.05 -0.0502372 -0.0158191 0.173076 -0.0771251 -0.401231 1.25004
0.45 0.06 0.0580303 0.0486989 -0.05 -0.0502239 -0.0165283 0.169354 -0.0647557 -0.343109 1.22383
0.46 0.06 0.0581423 0.0503763 -0.05 -0.0502115 -0.017115 0.166209 -0.0526262 -0.285994 1.20209
0.47 0.06 0.0582477 0.052025 -0.05 -0.0502 -0.0175815 0.16363 -0.040692 -0.229693 1.18475
0.48 0.06 0.0583468 0.0536507 -0.05 -0.0501892 -0.0179294 0.161612 -0.0289095 -0.174014 1.17174
0.49 0.06 0.0584401 0.0552591 -0.05 -0.0501792 -0.01816 0.160148 -0.0172357 -0.118768 1.16303
0.5 0.06 0.0585279 0.0568555 -0.05 -0.0501699 -0.0182743 0.159235 -0.00562775 -0.0637633 1.15856
0.51 0.06 0.0586105 0.0584456 -0.05 -0.0501612 -0.0182726 0.158872 0.00595668 -0.00881243 1.15833
0.52 0.06 0.0586882 0.0600348 -0.05 -0.0501532 -0.0181551 0.15906 0.01756 0.0462746 1.16233
0.53 0.06 0.0587612 0.0616287 -0.05 -0.0501458 -0.0179212 0.1598 0.0292245 0.101688 1.17058
0.54 0.06 0.0588299 0.0632327 -0.05 -0.050139 -0.0175703 0.161096 0.040993 0.157622 1.18311
0.55 0.06 0.0588945 0.0648525 -0.05 -0.0501328 -0.0171009 0.162956 0.0529083 0.214269 1.19995
0.56 0.06 0.0589551 0.0664937 -0.05 -0.0501271 -0.0165115 0.165386 0.0650139 0.271829 1.22118
0.57 0.06 0.0590122 0.0681621 -0.05 -0.0501219 -0.0157998 0.168398 0.0773542 0.330503 1.24687
0.58 0.06 0.0590657 0.0698636 -0.05 -0.0501173 -0.0149634 0.172003 0.089974 0.390497 1.2771
0.59 0.06 0.059116 0.0716042 -0.05 -0.0501131 -0.0139993 0.176215 0.10292 0.452023 1.312
0.6 0.06 0.0591632 0.07339 -0.05 -0.0501094 -0.0129038 0.181052 0.116238 0.515299 1.35168
0.61 0.06 0.0592075 0.0752274 -0.05 -0.0501061 -0.0116731 0.186531 0.129978 0.580548 1.3963
0.62 0.06 0.059249 0.0771228 -0.05 -0.0501033 -0.0103027 0.192674 0.144189 0.648 1.446
0.63 0.06 0.059288 0.0790831 -0.05 -0.0501008 -0.00878757 0.199503 0.158924 0.717878 1.50094
0.64 0.06 0.059325 0.0811153 -0.05 -0.0500978 -0.00712228 0.207044 0.174234 0.790253 1.56102
0.65 0.06 0.0593652 0.0832265 -0.05 -0.0500862 -0.00530084 0.215314 0.190157 0.863713 1.62368
0.66 0.06 0.0594546 0.0854238 -0.05 -0.0499893 -0.00331743 0.224246 0.20659 0.92272 1.66281
0.67 0.06 0.0600278 0.0877106 -0.05 -0.0490828 -0.00117228 0.23295 0.222052 0.818129 1.42962
0.68 0.06 0.0651933 0.090053 -0.05 -0.0405197 0.00107206 0.232729 0.222051 -0.86229 -1.42981
0.69 0.12 0.113786 0.0923355 0.05 0.0404245 0.00321719 0.223583 0.206587 -0.966917 -1.66298
0.7 0.12 0.118948 0.0945239 0.05 0.0489873 0.00520057 0.214209 0.190153 -0.907982 -1.62383
0.71 0.12 0.119514 0.0966218 0.05 0.0498931 0.00702195 0.205496 0.174228 -0.834629 -1.56113
0.72 0.12 0.119593 0.0986363 0.05 0.0499889 0.00868718 0.197511 0.158918 -0.762396 -1.501
0.73 0.12 0.11962 0.100574 0.05 0.0499992 0.0102022 0.190235 0.144183 -0.692693 -1.446
0.74 0.12 0.119639 0.102443 0.05 0.0500004 0.0115726 0.183645 0.129971 -0.625447 -1.39622
0.75 0.12 0.119657 0.10425 0.05 0.0500008 0.0128032 0.177715 0.116233 -0.560433 -1.35152
0.76 0.12 0.119674 0.106 0.05 0.0500011 0.0138986 0.172426 0.102916 -0.497419 -1.31174
0.77 0.12 0.11969 0.1077 0.05 0.0500015 0.0148628 0.167758 0.0899741 -0.436179 -1.27672
